,track_id,type,traveled_d,avg_speed,lat,lon,speed,lon_acc,lat_acc,time,matchlink
28660931,13554,Motorcycle,1161.68,29.769824,37.992627,23.731453,34.9726,0.1598,0.0451,628.2,"(97788477, 97788216)"
28661231,13554,Motorcycle,1161.68,29.769824,37.991659,23.73118,26.6638,-1.5425,-0.0787,640.2,"(97788216, 597677303)"
28661531,13554,Motorcycle,1161.68,29.769824,37.991379,23.731159,23.9063,3.4,1.248,652.2,"(597677303, 961530639)"
28661831,13554,Motorcycle,1161.68,29.769824,37.989542,23.730688,85.4162,0.5043,0.0731,664.2,"(961530639, 97788213)"
28662131,13554,Motorcycle,1161.68,29.769824,37.987451,23.730213,47.3908,-1.9716,0.1138,676.2,"(97788213, 97788195)"
28662431,13554,Motorcycle,1161.68,29.769824,37.986412,23.729998,18.9436,-0.4505,0.2085,688.2,"(97788195, 97788192)"
28662731,13554,Motorcycle,1161.68,29.769824,37.985596,23.729771,38.7786,0.626,0.0441,700.2,"(97788192, 516020524)"
28663031,13554,Motorcycle,1161.68,29.769824,37.984859,23.729589,3.3227,-0.1569,0.0284,712.2,"(516020524, 250714052)"
28663331,13554,Motorcycle,1161.68,29.769824,37.984516,23.729529,17.5886,-1.2855,0.3848,724.2,"(250714052, 250714050)"
28663631,13554,Motorcycle,1161.68,29.769824,37.984159,23.729435,0.0034,-0.0108,0.0,736.2,"(250714050, 250714051)"
28663931,13554,Motorcycle,1161.68,29.769824,37.984159,23.729435,6.3142,5.6731,-0.0072,748.2,"(250714050, 250714051)"
28664231,13554,Motorcycle,1161.68,29.769824,37.983321,23.729247,35.9865,0.4573,-1.1107,760.2,"(250714051, 250700142)"
28664443,13554,Motorcycle,1161.68,29.769824,37.98243,23.729589,49.7575,2.9574,0.2122,768.68,"(250700142, 250700344)"
