,track_id,type,traveled_d,avg_speed,lat,lon,speed,lon_acc,lat_acc,time,matchlink
19551374,11244,Car,224.77,13.67754,37.98878,23.725048,24.3015,0.0866,0.4521,709.6,"(95663490, 97834829)"
19551614,11244,Car,224.77,13.67754,37.98828,23.724972,16.6263,-0.9927,0.0442,719.2,"(97834829, 97834824)"
19551674,11244,Car,224.77,13.67754,37.988222,23.724957,3.7579,-0.8637,-0.0096,721.6,"(97834829, 97834824)"
19551914,11244,Car,224.77,13.67754,37.987916,23.724883,19.0564,0.379,0.0508,731.2,"(97834824, 97834765)"
19551974,11244,Car,224.77,13.67754,37.987793,23.724854,25.0279,2.0649,0.0555,733.6,"(97834824, 97834765)"
19552214,11244,Car,224.77,13.67754,37.98737,23.724747,8.5166,-3.3367,-0.0,743.2,"(97834765, 95663524)"
19552274,11244,Car,224.77,13.67754,37.987367,23.724746,1.5857,1.1659,0.3698,745.6,"(97834765, 95663524)"
19552514,11244,Car,224.77,13.67754,37.987399,23.724291,16.7727,-0.8391,0.0749,755.2,"(95663524, 633562897)"
19552574,11244,Car,224.77,13.67754,37.987416,23.724188,10.0322,-1.9166,-0.0102,757.6,"(95663524, 633562897)"
19552814,11244,Car,224.77,13.67754,37.987424,23.724232,6.5985,0.1525,1.0126,767.2,"(633562897, 633562896)"
19552853,11244,Car,224.77,13.67754,37.987444,23.72423,2.2858,-2.9511,0.0498,768.76,"(633562897, 633562896)"
