,track_id,type,traveled_d,avg_speed,lat,lon,speed,lon_acc,lat_acc,time,matchlink
13572630,9252,Car,180.28,20.854625,37.991204,23.729775,13.5813,-0.0335,-0.0761,14.28,"(635126483, 97788471)"
13572690,9252,Car,180.28,20.854625,37.991281,23.729794,13.6156,0.6309,0.081,16.68,"(635126483, 97788471)"
13572810,9252,Car,180.28,20.854625,37.991486,23.729845,19.6233,-0.0786,-0.0559,21.48,"(635126483, 97788471)"
13572870,9252,Car,180.28,20.854625,37.991598,23.729871,17.5903,-0.3189,-0.0387,23.88,"(97788471, 358465410)"
13572930,9252,Car,180.28,20.854625,37.991702,23.729893,18.2117,0.3284,0.0978,26.28,"(97788471, 358465410)"
13572990,9252,Car,180.28,20.854625,37.991817,23.729922,21.0133,0.3105,0.0257,28.68,"(97788471, 358465410)"
13573170,9252,Car,180.28,20.854625,37.99224,23.730023,26.3853,-0.2984,0.0073,35.88,"(97788471, 358465410)"
13573230,9252,Car,180.28,20.854625,37.992391,23.730052,26.0242,0.0841,0.0926,38.28,"(358465410, 635122963)"
13573408,9252,Car,180.28,20.854625,37.9928,23.73016,22.508,0.0537,0.0913,45.4,"(635122963, 635122988)"
