,track_id,type,traveled_d,avg_speed,lat,lon,speed,lon_acc,lat_acc,time,matchlink
10054096,7798,Car,1193.08,20.935233,37.983427,23.726537,18.1172,-0.0045,-0.0478,396.0,"(1003481221, 7214467394)"
10054216,7798,Car,1193.08,20.935233,37.98354,23.726805,23.5798,0.9697,-0.0679,400.8,"(7214467394, 363357735)"
10054336,7798,Car,1193.08,20.935233,37.983692,23.727162,28.7177,0.2229,-0.1056,405.6,"(7214467394, 363357735)"
10054396,7798,Car,1193.08,20.935233,37.983774,23.727344,24.3334,-0.9884,-0.0108,408.0,"(7214467394, 363357735)"
10054516,7798,Car,1193.08,20.935233,37.983839,23.727672,25.0899,0.536,0.8648,412.8,"(7214467394, 363357735)"
10054636,7798,Car,1193.08,20.935233,37.983781,23.728051,23.2724,-0.2175,0.0534,417.6,"(7214467394, 363357735)"
10054696,7798,Car,1193.08,20.935233,37.983758,23.728217,20.9546,-0.3791,0.2128,420.0,"(7214467394, 363357735)"
10054816,7798,Car,1193.08,20.935233,37.983711,23.728473,13.1683,-0.2934,0.7923,424.8,"(7214467394, 363357735)"
10054936,7798,Car,1193.08,20.935233,37.983605,23.72862,12.7691,-0.7413,0.3256,429.6,"(7214467394, 363357735)"
10054996,7798,Car,1193.08,20.935233,37.983567,23.728654,3.3974,-0.3242,-0.0299,432.0,"(7214467394, 363357735)"
10055116,7798,Car,1193.08,20.935233,37.983555,23.728665,0.0,-0.0,-0.0,436.8,"(7214467394, 363357735)"
10055236,7798,Car,1193.08,20.935233,37.983555,23.728665,0.0,0.0,-0.0,441.6,"(7214467394, 363357735)"
10055296,7798,Car,1193.08,20.935233,37.98355,23.72867,5.1157,1.2057,0.1073,444.0,"(7214467394, 363357735)"
10055416,7798,Car,1193.08,20.935233,37.983444,23.728755,16.8345,-0.0698,0.0373,448.8,"(7214467394, 363357735)"
10055536,7798,Car,1193.08,20.935233,37.983275,23.728874,15.5098,-0.0816,0.0427,453.6,"(363357735, 250700142)"
10055596,7798,Car,1193.08,20.935233,37.98319,23.728921,16.1219,0.4892,-0.442,456.0,"(363357735, 250700142)"
10055716,7798,Car,1193.08,20.935233,37.983009,23.729063,16.8915,0.8983,0.0841,460.8,"(363357735, 250700142)"
10055836,7798,Car,1193.08,20.935233,37.982793,23.729239,24.3539,0.3654,-0.0545,465.6,"(250700142, 250700344)"
10055896,7798,Car,1193.08,20.935233,37.982662,23.729349,28.172,0.5434,-0.0316,468.0,"(250700142, 250700344)"
10056016,7798,Car,1193.08,20.935233,37.982333,23.729632,34.9473,-0.6214,0.0888,472.8,"(250700344, 250691664)"
10056136,7798,Car,1193.08,20.935233,37.981985,23.729928,35.9491,-0.1755,0.1399,477.6,"(250700344, 250691664)"
10056196,7798,Car,1193.08,20.935233,37.981836,23.730054,19.3022,-2.7038,-0.0148,480.0,"(250700344, 250691664)"
10056316,7798,Car,1193.08,20.935233,37.981774,23.730109,1.6783,-0.2333,0.0626,484.8,"(250700344, 250691664)"
10056436,7798,Car,1193.08,20.935233,37.981772,23.73011,0.0,0.0,0.0,489.6,"(250700344, 250691664)"
10056496,7798,Car,1193.08,20.935233,37.981772,23.73011,0.0,0.0,-0.0,492.0,"(250700344, 250691664)"
10056616,7798,Car,1193.08,20.935233,37.981769,23.730113,0.0001,-0.0004,0.0,496.8,"(250700344, 250691664)"
10056736,7798,Car,1193.08,20.935233,37.981769,23.730113,0.0089,0.012,-0.0,501.6,"(250700344, 250691664)"
10056796,7798,Car,1193.08,20.935233,37.981757,23.730123,7.3576,1.3661,0.0978,504.0,"(250700344, 250691664)"
10056916,7798,Car,1193.08,20.935233,37.981611,23.730249,19.0036,0.4825,0.0671,508.8,"(250691664, 250691665)"
10057036,7798,Car,1193.08,20.935233,37.981408,23.730422,18.5392,-0.3462,0.0092,513.6,"(250691664, 250691665)"
10057096,7798,Car,1193.08,20.935233,37.981331,23.730488,12.1691,-0.4117,0.0021,516.0,"(250691664, 250691665)"
10057276,7798,Car,1193.08,20.935233,37.981082,23.730698,22.8924,-0.1961,0.0141,523.2,"(250691664, 250691665)"
10057336,7798,Car,1193.08,20.935233,37.980966,23.730794,24.9633,0.6791,0.0167,525.6,"(250691664, 250691665)"
10057396,7798,Car,1193.08,20.935233,37.980832,23.730905,28.538,0.5601,-0.0938,528.0,"(250691665, 250691666)"
10057576,7798,Car,1193.08,20.935233,37.980325,23.731333,37.9173,-0.0656,-0.0149,535.2,"(250691665, 250691666)"
10057636,7798,Car,1193.08,20.935233,37.980134,23.731491,38.1727,-0.1628,-0.0516,537.6,"(250691665, 250691666)"
10057696,7798,Car,1193.08,20.935233,37.97994,23.731653,39.8739,0.0914,0.1128,540.0,"(250691666, 250709582)"
10057876,7798,Car,1193.08,20.935233,37.979332,23.732154,37.921,-0.1886,0.0364,547.2,"(250709582, 250691668)"
10057936,7798,Car,1193.08,20.935233,37.979141,23.732311,38.6065,0.5451,-0.0629,549.6,"(250709582, 250691668)"
10057996,7798,Car,1193.08,20.935233,37.97894,23.732482,40.7957,-0.0884,0.0239,552.0,"(250709582, 250691668)"
10058176,7798,Car,1193.08,20.935233,37.978342,23.73299,40.1186,0.1631,0.001,559.2,"(250691668, 250691669)"
10058236,7798,Car,1193.08,20.935233,37.978141,23.733159,39.5336,-0.1968,-0.0228,561.6,"(250691668, 250691669)"
10058296,7798,Car,1193.08,20.935233,37.977952,23.733321,36.3768,-0.3168,-0.0126,564.0,"(250691669, 250691670)"
10058476,7798,Car,1193.08,20.935233,37.977449,23.733745,31.8202,-0.5002,0.0168,571.2,"(250691670, 42240105)"
10058536,7798,Car,1193.08,20.935233,37.977303,23.733866,26.4689,-0.5594,0.0133,573.6,"(250691670, 42240105)"
10058596,7798,Car,1193.08,20.935233,37.977181,23.733966,21.8531,-0.5196,-0.0771,576.0,"(250691670, 42240105)"
10058776,7798,Car,1193.08,20.935233,37.976967,23.734144,9.7819,0.329,-0.0193,583.2,"(250691670, 42240105)"
10058836,7798,Car,1193.08,20.935233,37.976902,23.734199,16.9574,0.3871,0.0664,585.6,"(250691670, 42240105)"
10058896,7798,Car,1193.08,20.935233,37.976813,23.734271,18.5065,0.3279,-0.1304,588.0,"(250691670, 42240105)"
10059076,7798,Car,1193.08,20.935233,37.976468,23.734411,25.7462,0.0703,0.5037,595.2,"(250691670, 42240105)"
10059136,7798,Car,1193.08,20.935233,37.976313,23.73437,27.0965,0.1651,0.514,597.6,"(250691670, 42240105)"
10059196,7798,Car,1193.08,20.935233,37.976149,23.734287,32.317,0.3039,0.4313,600.0,"(42240105, 250691272)"
10059225,7798,Car,1193.08,20.935233,37.976066,23.734231,32.3619,-0.2497,0.0877,601.16,"(42240105, 250691272)"
