,track_id,type,traveled_d,avg_speed,lat,lon,speed,lon_acc,lat_acc,time,matchlink
3897215,4869,Motorcycle,43.31,2.547933,37.978352,23.737802,17.0501,0.0436,0.6312,696.68,"(250692359, 300401271)"
3897275,4869,Motorcycle,43.31,2.547933,37.978358,23.737695,14.0663,0.0147,1.0091,699.08,"(250692359, 300401271)"
3897335,4869,Motorcycle,43.31,2.547933,37.978418,23.737635,15.0831,3.4582,-0.539,701.48,"(250692359, 300401271)"
3897395,4869,Motorcycle,43.31,2.547933,37.978552,23.737515,30.4146,-1.0273,0.1791,703.88,"(250692359, 300401271)"
3897455,4869,Motorcycle,43.31,2.547933,37.978598,23.737474,0.0009,-0.0018,-0.0,706.28,"(300401271, 300401270)"
3897515,4869,Motorcycle,43.31,2.547933,37.978598,23.737474,0.0007,-0.0,-0.0,708.68,"(300401271, 300401270)"
3897575,4869,Motorcycle,43.31,2.547933,37.978598,23.737474,0.0007,-0.0,0.0,711.08,"(300401271, 300401270)"
3897635,4869,Motorcycle,43.31,2.547933,37.978598,23.737474,0.0006,-0.0,-0.0,713.48,"(300401271, 300401270)"
3897695,4869,Motorcycle,43.31,2.547933,37.978598,23.737474,0.0005,-0.0,0.0,715.88,"(300401271, 300401270)"
3897755,4869,Motorcycle,43.31,2.547933,37.978598,23.737474,0.0005,-0.0,0.0,718.28,"(300401271, 300401270)"
3897815,4869,Motorcycle,43.31,2.547933,37.978598,23.737474,0.0004,-0.0,-0.0,720.68,"(300401271, 300401270)"
3897875,4869,Motorcycle,43.31,2.547933,37.978598,23.737474,0.0004,-0.0,-0.0,723.08,"(300401271, 300401270)"
3897935,4869,Motorcycle,43.31,2.547933,37.978598,23.737474,0.0003,-0.0,0.0,725.48,"(300401271, 300401270)"
3897995,4869,Motorcycle,43.31,2.547933,37.978598,23.737474,0.0003,-0.0,-0.0,727.88,"(300401271, 300401270)"
3898055,4869,Motorcycle,43.31,2.547933,37.978598,23.737474,0.0002,-0.0,0.0,730.28,"(300401271, 300401270)"
3898115,4869,Motorcycle,43.31,2.547933,37.978598,23.737474,0.0002,-0.0,0.0,732.68,"(300401271, 300401270)"
3898175,4869,Motorcycle,43.31,2.547933,37.978598,23.737474,0.0002,-0.0,0.0,735.08,"(300401271, 300401270)"
3898235,4869,Motorcycle,43.31,2.547933,37.978598,23.737474,0.0001,-0.0,0.0,737.48,"(300401271, 300401270)"
3898295,4869,Motorcycle,43.31,2.547933,37.978598,23.737474,0.0001,-0.0,-0.0,739.88,"(300401271, 300401270)"
3898355,4869,Motorcycle,43.31,2.547933,37.978598,23.737474,0.0001,-0.0,0.0,742.28,"(300401271, 300401270)"
3898415,4869,Motorcycle,43.31,2.547933,37.978598,23.737474,0.0001,-0.0,0.0,744.68,"(300401271, 300401270)"
3898475,4869,Motorcycle,43.31,2.547933,37.978598,23.737474,0.0,-0.0,-0.0,747.08,"(300401271, 300401270)"
3898535,4869,Motorcycle,43.31,2.547933,37.978598,23.737474,0.0,-0.0,-0.0,749.48,"(300401271, 300401270)"
3898595,4869,Motorcycle,43.31,2.547933,37.978598,23.737474,0.0,-0.0,0.0,751.88,"(300401271, 300401270)"
3898655,4869,Motorcycle,43.31,2.547933,37.978598,23.737474,0.0,-0.0,0.0,754.28,"(300401271, 300401270)"
3898715,4869,Motorcycle,43.31,2.547933,37.978598,23.737474,0.0,-0.0,0.0,756.68,"(300401271, 300401270)"
3898745,4869,Motorcycle,43.31,2.547933,37.978598,23.737474,0.0,-0.0,0.0,757.88,"(300401271, 300401270)"
