Mode,Num_Routes,Constraints,Prep_Time,Solve_Time,Total_Time,Obj_Val,Reduction_Rate
Mode A (Baseline),460,105569,0.11234736442565918,0.9940750598907471,1.1064224243164062,193.0,0.0
Mode B (Geometric),460,6316,0.007808685302734375,0.05714869499206543,0.0649573802947998,193.0,94.01718307457682
Mode C (Logical Only),460,1241,0.27910852432250977,0.015775680541992188,0.29488420486450195,193.0,98.82446551544487
Mode D (Ours: Geo + Log),460,218,0.028650999069213867,0.0044786930084228516,0.03312969207763672,193.0,99.79349998579127
