,track_id,type,traveled_d,avg_speed,lat,lon,speed,lon_acc,lat_acc,time,matchlink
6919356,1787,Motorcycle,1285.27,26.57962,37.975599,23.735717,41.3608,0.0995,-0.0339,81.76,"(3339821648, 250691723)"
6919656,1787,Motorcycle,1285.27,26.57962,37.976773,23.735829,30.2453,-1.0245,-0.6615,93.76,"(250691723, 250691724)"
6919956,1787,Motorcycle,1285.27,26.57962,37.977931,23.734922,73.8046,-0.8418,0.0525,105.76,"(250691724, 250698924)"
6920256,1787,Motorcycle,1285.27,26.57962,37.979802,23.733357,80.3855,-0.0466,0.0259,117.76,"(250698924, 250698926)"
6920736,1787,Motorcycle,1285.27,26.57962,37.982905,23.730662,72.017,-0.2446,0.1075,136.96,"(250698926, 250699982)"
6920796,1787,Motorcycle,1285.27,26.57962,37.98325,23.730365,66.0231,-0.8635,-0.0472,139.36,"(250699982, 250699983)"
6921036,1787,Motorcycle,1285.27,26.57962,37.983832,23.729536,5.4716,-1.6106,-0.0093,148.96,"(250699983, 250702474)"
6921096,1787,Motorcycle,1285.27,26.57962,37.983836,23.729519,0.9341,-0.5373,0.0081,151.36,"(250702474, 250700248)"
6921276,1787,Motorcycle,1285.27,26.57962,37.983836,23.729518,0.609,0.5685,-0.0039,158.56,"(250700248, 250714051)"
6921336,1787,Motorcycle,1285.27,26.57962,37.983836,23.7295,2.539,-0.1968,-0.2524,160.96,"(250700248, 250714051)"
6921396,1787,Motorcycle,1285.27,26.57962,37.98383,23.72949,1.274,-0.0432,0.1904,163.36,"(250700248, 250714051)"
6921576,1787,Motorcycle,1285.27,26.57962,37.983829,23.729479,0.0,0.0,0.0,170.56,"(250700248, 250714051)"
6921636,1787,Motorcycle,1285.27,26.57962,37.983829,23.729479,0.0,0.0,0.0,172.96,"(250700248, 250714051)"
6921696,1787,Motorcycle,1285.27,26.57962,37.983829,23.729479,0.0,0.0,0.0,175.36,"(250700248, 250714051)"
6921876,1787,Motorcycle,1285.27,26.57962,37.983829,23.729479,0.0,0.0,0.0,182.56,"(250700248, 250714051)"
6921936,1787,Motorcycle,1285.27,26.57962,37.983829,23.729479,0.0,0.0,0.0,184.96,"(250700248, 250714051)"
6921996,1787,Motorcycle,1285.27,26.57962,37.983829,23.729479,0.0009,-0.0003,-0.0004,187.36,"(250700248, 250714051)"
6922176,1787,Motorcycle,1285.27,26.57962,37.983542,23.729291,33.6238,-0.008,0.0325,194.56,"(250714051, 250700142)"
6922236,1787,Motorcycle,1285.27,26.57962,37.983353,23.729243,29.3156,-1.3593,0.5518,196.96,"(250714051, 250700142)"
6922296,1787,Motorcycle,1285.27,26.57962,37.983214,23.729202,18.7072,-1.0494,-0.2092,199.36,"(250714051, 250700142)"
6922476,1787,Motorcycle,1285.27,26.57962,37.98311,23.729172,0.0,0.0,0.0,206.56,"(250714051, 250700142)"
6922536,1787,Motorcycle,1285.27,26.57962,37.98311,23.729172,0.0,0.0,0.0,208.96,"(250714051, 250700142)"
6922596,1787,Motorcycle,1285.27,26.57962,37.98311,23.729172,0.0,0.0,0.0,211.36,"(250714051, 250700142)"
6922656,1787,Motorcycle,1285.27,26.57962,37.98311,23.729172,0.0,0.0,0.0,213.76,"(250714051, 250700142)"
6922716,1787,Motorcycle,1285.27,26.57962,37.98311,23.729172,0.0,0.0,0.0,216.16,"(250714051, 250700142)"
6922776,1787,Motorcycle,1285.27,26.57962,37.98311,23.729172,0.0,0.0,0.0,218.56,"(250714051, 250700142)"
6922836,1787,Motorcycle,1285.27,26.57962,37.98311,23.729172,0.0,0.0,0.0,220.96,"(250714051, 250700142)"
6922896,1787,Motorcycle,1285.27,26.57962,37.98311,23.729172,0.0,0.0,0.0,223.36,"(250714051, 250700142)"
6922956,1787,Motorcycle,1285.27,26.57962,37.98311,23.729172,0.0,0.0,0.0,225.76,"(250714051, 250700142)"
6923016,1787,Motorcycle,1285.27,26.57962,37.98311,23.729172,0.0,0.0,0.0,228.16,"(250714051, 250700142)"
6923076,1787,Motorcycle,1285.27,26.57962,37.98311,23.729172,0.0,0.0,0.0,230.56,"(250714051, 250700142)"
6923136,1787,Motorcycle,1285.27,26.57962,37.98311,23.729172,0.0,0.0,0.0,232.96,"(250714051, 250700142)"
6923196,1787,Motorcycle,1285.27,26.57962,37.98311,23.729172,0.0,0.0,0.0,235.36,"(250714051, 250700142)"
6923256,1787,Motorcycle,1285.27,26.57962,37.98311,23.729172,1.0043,0.7325,-0.0573,237.76,"(250714051, 250700142)"
6923316,1787,Motorcycle,1285.27,26.57962,37.983057,23.729158,18.4674,2.3563,0.1322,240.16,"(250714051, 250700142)"
6923376,1787,Motorcycle,1285.27,26.57962,37.982924,23.729107,23.5696,-0.1288,0.4359,242.56,"(250714051, 250700142)"
6923436,1787,Motorcycle,1285.27,26.57962,37.982814,23.729052,16.8169,0.5754,-0.7318,244.96,"(250714051, 250700142)"
6923496,1787,Motorcycle,1285.27,26.57962,37.982698,23.729036,22.4563,1.0422,0.5039,247.36,"(250714051, 250700142)"
6923556,1787,Motorcycle,1285.27,26.57962,37.982567,23.729002,16.2051,-1.3384,0.6086,249.76,"(250714051, 250700142)"
6923616,1787,Motorcycle,1285.27,26.57962,37.982511,23.728947,10.8641,0.9874,1.5097,252.16,"(250714051, 250700142)"
6923676,1787,Motorcycle,1285.27,26.57962,37.982528,23.728818,25.1543,2.4687,-0.1589,254.56,"(250714051, 250700142)"
6923708,1787,Motorcycle,1285.27,26.57962,37.982549,23.728705,28.823,-0.1679,0.0624,255.84,"(250700142, 250700344)"
