,track_id,type,traveled_d,avg_speed,lat,lon,speed,lon_acc,lat_acc,time,matchlink
20794275,5800,Heavy Vehicle,613.69,13.422062,37.977314,23.733023,22.5662,0.0747,-0.0728,545.56,"(250706414, 250691670)"
20794335,5800,Heavy Vehicle,613.69,13.422062,37.977307,23.733167,14.5601,-1.0211,-0.3741,547.96,"(250706414, 250691670)"
20794395,5800,Heavy Vehicle,613.69,13.422062,37.977311,23.733235,4.084,-0.3816,-0.211,550.36,"(250706414, 250691670)"
20794455,5800,Heavy Vehicle,613.69,13.422062,37.977313,23.733246,0.0003,-0.0004,0.0,552.76,"(250706414, 250691670)"
20794515,5800,Heavy Vehicle,613.69,13.422062,37.977313,23.733246,0.0002,0.0008,-0.0,555.16,"(250706414, 250691670)"
20794575,5800,Heavy Vehicle,613.69,13.422062,37.977315,23.733258,5.3148,0.5579,-0.0153,557.56,"(250706414, 250691670)"
20794635,5800,Heavy Vehicle,613.69,13.422062,37.977334,23.733325,14.4516,1.0904,-0.5184,559.96,"(250706414, 250691670)"
20794695,5800,Heavy Vehicle,613.69,13.422062,37.977389,23.733446,22.4684,0.8684,-0.0149,562.36,"(250706414, 250691670)"
20794755,5800,Heavy Vehicle,613.69,13.422062,37.97746,23.733618,27.4435,-0.0928,0.2568,564.76,"(250706414, 250691670)"
20794815,5800,Heavy Vehicle,613.69,13.422062,37.977526,23.733796,23.8623,-0.5466,-0.4326,567.16,"(250691670, 250691723)"
20794875,5800,Heavy Vehicle,613.69,13.422062,37.977591,23.733934,17.7374,-1.1859,-0.0564,569.56,"(250691670, 250691723)"
20794935,5800,Heavy Vehicle,613.69,13.422062,37.977641,23.734027,12.1956,-0.4221,-0.0024,571.96,"(250691670, 250691723)"
20794995,5800,Heavy Vehicle,613.69,13.422062,37.977682,23.734106,11.9514,-0.4986,0.0056,574.36,"(250691670, 250691723)"
20795055,5800,Heavy Vehicle,613.69,13.422062,37.977712,23.734164,5.6302,-0.6528,-0.0056,576.76,"(250691670, 250691723)"
20795115,5800,Heavy Vehicle,613.69,13.422062,37.977736,23.734212,11.1762,0.5397,0.1148,579.16,"(250691670, 250691723)"
20795175,5800,Heavy Vehicle,613.69,13.422062,37.977782,23.734296,16.0365,0.4501,0.1176,581.56,"(250691670, 250691723)"
20795235,5800,Heavy Vehicle,613.69,13.422062,37.977845,23.734416,21.3239,0.4102,0.0499,583.96,"(250691670, 250691723)"
20795295,5800,Heavy Vehicle,613.69,13.422062,37.977924,23.734572,26.3847,0.3466,0.2287,586.36,"(250691670, 250691723)"
20795355,5800,Heavy Vehicle,613.69,13.422062,37.978006,23.734736,23.969,-0.1884,0.0993,588.76,"(250691670, 250691723)"
20795415,5800,Heavy Vehicle,613.69,13.422062,37.978079,23.734875,18.6383,-0.6669,-0.076,591.16,"(250691670, 250691723)"
20795475,5800,Heavy Vehicle,613.69,13.422062,37.978135,23.734976,13.7689,-0.4848,-0.0497,593.56,"(250691723, 250691755)"
20795535,5800,Heavy Vehicle,613.69,13.422062,37.978179,23.735057,14.9777,0.7983,0.0235,595.96,"(250691723, 250691755)"
20795595,5800,Heavy Vehicle,613.69,13.422062,37.978235,23.735156,16.1564,0.3541,0.2079,598.36,"(250691723, 250691755)"
20795655,5800,Heavy Vehicle,613.69,13.422062,37.978292,23.735266,17.7428,0.0248,-0.1078,600.76,"(250691723, 250691755)"
20795715,5800,Heavy Vehicle,613.69,13.422062,37.978353,23.735379,18.4392,0.0924,0.0842,603.16,"(250691723, 250691755)"
20795775,5800,Heavy Vehicle,613.69,13.422062,37.978411,23.735499,18.6453,0.0777,-0.0225,605.56,"(250691723, 250691755)"
20795835,5800,Heavy Vehicle,613.69,13.422062,37.978471,23.735622,19.4882,0.1331,0.1424,607.96,"(250691723, 250691755)"
20795895,5800,Heavy Vehicle,613.69,13.422062,37.97853,23.73575,19.0269,-0.1599,-0.1089,610.36,"(250691723, 250691755)"
20795955,5800,Heavy Vehicle,613.69,13.422062,37.978586,23.735862,15.0327,-0.6659,0.2482,612.76,"(250691723, 250691755)"
20796015,5800,Heavy Vehicle,613.69,13.422062,37.978619,23.73593,6.2895,0.1702,0.1215,615.16,"(250691723, 250691755)"
20796075,5800,Heavy Vehicle,613.69,13.422062,37.978628,23.735948,0.0007,-0.0017,-0.0,617.56,"(250691723, 250691755)"
20796135,5800,Heavy Vehicle,613.69,13.422062,37.978628,23.735948,0.0,0.0,0.0,619.96,"(250691723, 250691755)"
20796195,5800,Heavy Vehicle,613.69,13.422062,37.978628,23.735948,1.2474,1.0635,0.02,622.36,"(250691723, 250691755)"
20796255,5800,Heavy Vehicle,613.69,13.422062,37.978645,23.735984,8.3625,0.3801,-0.1124,624.76,"(250691723, 250691755)"
20796315,5800,Heavy Vehicle,613.69,13.422062,37.978678,23.736044,10.8563,-0.2861,0.2799,627.16,"(250691723, 250691755)"
20796375,5800,Heavy Vehicle,613.69,13.422062,37.978714,23.736112,10.2814,-0.4556,0.0878,629.56,"(250691723, 250691755)"
20796435,5800,Heavy Vehicle,613.69,13.422062,37.978748,23.736184,12.6994,-0.1995,0.0975,631.96,"(250691723, 250691755)"
20796495,5800,Heavy Vehicle,613.69,13.422062,37.978777,23.736254,8.2398,-0.1984,-0.2799,634.36,"(250691723, 250691755)"
20796555,5800,Heavy Vehicle,613.69,13.422062,37.978797,23.736296,4.5443,-0.2221,-0.0583,636.76,"(250691723, 250691755)"
20796615,5800,Heavy Vehicle,613.69,13.422062,37.97881,23.736321,0.9298,-0.6759,-0.0849,639.16,"(250691723, 250691755)"
20796675,5800,Heavy Vehicle,613.69,13.422062,37.97881,23.736321,0.0,-0.0,-0.0,641.56,"(250691723, 250691755)"
20796735,5800,Heavy Vehicle,613.69,13.422062,37.97881,23.736321,0.0,0.0,0.0,643.96,"(250691723, 250691755)"
20796795,5800,Heavy Vehicle,613.69,13.422062,37.97881,23.736321,0.0,0.0,0.0,646.36,"(250691723, 250691755)"
20796855,5800,Heavy Vehicle,613.69,13.422062,37.97881,23.736321,0.0,0.0,0.0,648.76,"(250691723, 250691755)"
20796915,5800,Heavy Vehicle,613.69,13.422062,37.97881,23.736321,0.0,0.0,0.0,651.16,"(250691723, 250691755)"
20796975,5800,Heavy Vehicle,613.69,13.422062,37.97881,23.736321,0.0,0.0,-0.0,653.56,"(250691723, 250691755)"
20797035,5800,Heavy Vehicle,613.69,13.422062,37.978814,23.736327,4.843,0.8111,0.3633,655.96,"(250691723, 250691755)"
20797095,5800,Heavy Vehicle,613.69,13.422062,37.978835,23.736368,9.7914,0.642,0.022,658.36,"(250691723, 250691755)"
20797155,5800,Heavy Vehicle,613.69,13.422062,37.97886,23.736461,15.6726,0.5217,1.5286,660.76,"(250691723, 250691755)"
20797215,5800,Heavy Vehicle,613.69,13.422062,37.978811,23.736584,20.0117,-0.3844,0.7789,663.16,"(250691755, 250692359)"
20797275,5800,Heavy Vehicle,613.69,13.422062,37.978716,23.736676,19.8892,-0.0041,-0.1034,665.56,"(250691755, 250692359)"
20797335,5800,Heavy Vehicle,613.69,13.422062,37.978578,23.736794,30.6706,-0.1302,0.0335,667.96,"(250691755, 250692359)"
20797395,5800,Heavy Vehicle,613.69,13.422062,37.978429,23.736925,29.8073,-0.1508,-0.1862,670.36,"(250691755, 250692359)"
20797455,5800,Heavy Vehicle,613.69,13.422062,37.978292,23.737044,24.535,-1.1619,0.0601,672.76,"(250692359, 250691739)"
20797515,5800,Heavy Vehicle,613.69,13.422062,37.978201,23.737113,8.5967,-3.4159,0.0069,675.16,"(250692359, 250691739)"
20797575,5800,Heavy Vehicle,613.69,13.422062,37.978195,23.737118,0.0,-0.0,0.0,677.56,"(250692359, 250691739)"
20797635,5800,Heavy Vehicle,613.69,13.422062,37.978195,23.737118,0.0,0.0,0.0,679.96,"(250692359, 250691739)"
20797695,5800,Heavy Vehicle,613.69,13.422062,37.978195,23.737118,0.0,0.0,0.0,682.36,"(250692359, 250691739)"
20797755,5800,Heavy Vehicle,613.69,13.422062,37.978195,23.737118,0.0,0.0,0.0,684.76,"(250692359, 250691739)"
20797815,5800,Heavy Vehicle,613.69,13.422062,37.978195,23.737118,0.0002,0.0,0.0,687.16,"(250692359, 250691739)"
20797875,5800,Heavy Vehicle,613.69,13.422062,37.978138,23.737163,32.9693,-4.2308,0.3227,689.56,"(250692359, 250691739)"
20797935,5800,Heavy Vehicle,613.69,13.422062,37.978039,23.737238,22.1307,0.9424,-0.311,691.96,"(250691739, 250691794)"
20797995,5800,Heavy Vehicle,613.69,13.422062,37.977916,23.737344,27.0218,0.2283,-0.1052,694.36,"(250691739, 250691794)"
20798055,5800,Heavy Vehicle,613.69,13.422062,37.97777,23.737463,30.7618,-0.2635,0.2309,696.76,"(250691739, 250691794)"
20798115,5800,Heavy Vehicle,613.69,13.422062,37.977609,23.73759,32.1207,0.04,0.2138,699.16,"(250691794, 250691793)"
20798175,5800,Heavy Vehicle,613.69,13.422062,37.977437,23.737725,32.6455,-1.5645,0.1268,701.56,"(250691793, 6220792260)"
20798235,5800,Heavy Vehicle,613.69,13.422062,37.977296,23.737856,27.8579,-0.5888,-1.9251,703.96,"(250691793, 6220792260)"
20798295,5800,Heavy Vehicle,613.69,13.422062,37.977227,23.738037,27.0027,0.2171,-0.6538,706.36,"(250691793, 6220792260)"
20798355,5800,Heavy Vehicle,613.69,13.422062,37.977193,23.738244,28.4812,0.2102,0.1215,708.76,"(250691793, 6220792260)"
20798390,5800,Heavy Vehicle,613.69,13.422062,37.977173,23.73837,29.331,-0.015,0.0567,710.16,"(6220792260, 6220792258)"
