,track_id,type,traveled_d,avg_speed,lat,lon,speed,lon_acc,lat_acc,time,matchlink
15160458,4038,Car,844.69,33.06731,37.982429,23.732334,32.3361,0.0023,-0.0287,345.84,"(250699984, 250699362)"
15160518,4038,Car,844.69,33.06731,37.982529,23.732545,32.4027,-0.1455,-0.1695,348.24,"(250699984, 250699362)"
15160578,4038,Car,844.69,33.06731,37.982631,23.732743,27.6558,-1.3834,0.1175,350.64,"(250699984, 250699362)"
15160638,4038,Car,844.69,33.06731,37.982706,23.732891,20.0277,-0.5254,-0.0336,353.04,"(250699984, 250699362)"
15160698,4038,Car,844.69,33.06731,37.982767,23.73301,17.6851,-0.1604,-0.0875,355.44,"(250699984, 250699362)"
15160758,4038,Car,844.69,33.06731,37.982823,23.73311,14.8167,0.8191,0.7572,357.84,"(250699984, 250699362)"
15160818,4038,Car,844.69,33.06731,37.982841,23.733226,14.0826,-0.4073,2.3582,360.24,"(250699362, 599116897)"
15160878,4038,Car,844.69,33.06731,37.982761,23.733319,22.8541,-0.0273,0.228,362.64,"(250699362, 599116897)"
15160938,4038,Car,844.69,33.06731,37.982652,23.733419,22.389,-0.0487,0.1979,365.04,"(250699362, 599116897)"
15160998,4038,Car,844.69,33.06731,37.982535,23.733513,24.0958,0.3942,-0.0058,367.44,"(250699362, 599116897)"
15161058,4038,Car,844.69,33.06731,37.982409,23.733617,23.9666,-0.4254,0.002,369.84,"(599116897, 250699613)"
15161118,4038,Car,844.69,33.06731,37.982295,23.73371,21.3671,-0.2675,0.1006,372.24,"(599116897, 250699613)"
15161178,4038,Car,844.69,33.06731,37.982189,23.733793,21.6337,0.3342,-0.1127,374.64,"(599116897, 250699613)"
15161238,4038,Car,844.69,33.06731,37.982069,23.733893,26.3874,0.203,-0.0411,377.04,"(599116897, 250699613)"
15161298,4038,Car,844.69,33.06731,37.981937,23.734005,24.1107,-0.6969,0.0925,379.44,"(250699613, 250699359)"
15161358,4038,Car,844.69,33.06731,37.981809,23.734109,28.0179,0.5541,0.0853,381.84,"(250699613, 250699359)"
15161418,4038,Car,844.69,33.06731,37.981655,23.734234,33.0164,0.6032,-0.223,384.24,"(250699613, 250699359)"
15161478,4038,Car,844.69,33.06731,37.981479,23.734387,38.2476,0.5527,0.0595,386.64,"(250699359, 10174555843)"
15161538,4038,Car,844.69,33.06731,37.981278,23.734556,40.6115,-0.0016,0.1125,389.04,"(250699359, 10174555843)"
15161598,4038,Car,844.69,33.06731,37.981071,23.734725,41.5855,0.0299,-0.1,391.44,"(250699359, 10174555843)"
15161658,4038,Car,844.69,33.06731,37.980861,23.734899,42.1272,0.0845,0.1174,393.84,"(250699359, 10174555843)"
15161718,4038,Car,844.69,33.06731,37.980649,23.735075,46.0599,1.0062,-0.2673,396.24,"(250699359, 10174555843)"
15161778,4038,Car,844.69,33.06731,37.980455,23.735241,33.1189,-0.6769,0.0864,398.64,"(250699359, 10174555843)"
15161838,4038,Car,844.69,33.06731,37.980295,23.735368,32.2296,0.6553,0.026,401.04,"(250699359, 10174555843)"
15161898,4038,Car,844.69,33.06731,37.980113,23.73551,36.8592,-0.4827,-0.2297,403.44,"(10174555843, 300400470)"
15161958,4038,Car,844.69,33.06731,37.979942,23.735652,32.3295,0.1825,-0.0204,405.84,"(10174555843, 300400470)"
15162018,4038,Car,844.69,33.06731,37.979768,23.735799,37.8845,0.4385,0.1398,408.24,"(10174555843, 300400470)"
15162078,4038,Car,844.69,33.06731,37.979575,23.735958,36.5884,-0.2249,-0.0712,410.64,"(10174555843, 300400470)"
15162138,4038,Car,844.69,33.06731,37.97938,23.736117,42.1671,0.9597,-0.0786,413.04,"(300400470, 250691755)"
15162198,4038,Car,844.69,33.06731,37.97915,23.736309,46.4161,-0.5506,0.0653,415.44,"(300400470, 250691755)"
15162258,4038,Car,844.69,33.06731,37.978918,23.736503,47.5576,0.4679,0.4955,417.84,"(250691755, 250692359)"
15162318,4038,Car,844.69,33.06731,37.978676,23.736696,45.2716,-0.8092,-0.1829,420.24,"(250691755, 250692359)"
15162378,4038,Car,844.69,33.06731,37.978467,23.736866,39.1997,-0.1193,-0.0397,422.64,"(250691755, 250692359)"
15162438,4038,Car,844.69,33.06731,37.978278,23.737016,34.7723,0.2259,0.0528,425.04,"(250692359, 250691739)"
15162498,4038,Car,844.69,33.06731,37.978096,23.737161,37.9328,0.8411,0.0507,427.44,"(250692359, 250691739)"
15162558,4038,Car,844.69,33.06731,37.977885,23.737331,46.8439,1.4302,0.1193,429.84,"(250691739, 250691794)"
15162618,4038,Car,844.69,33.06731,37.977632,23.737536,49.894,-0.5307,-0.2828,432.24,"(250691794, 250691793)"
15162678,4038,Car,844.69,33.06731,37.977403,23.737723,40.0836,-1.1784,0.2552,434.64,"(250691793, 6220792260)"
15162738,4038,Car,844.69,33.06731,37.977205,23.737841,34.1536,-1.4885,2.0786,437.04,"(6220792260, 6220792258)"
15162757,4038,Car,844.69,33.06731,37.977145,23.737852,31.1557,-1.1585,0.4495,437.8,"(6220792260, 6220792258)"
