,track_id,type,traveled_d,avg_speed,lat,lon,speed,lon_acc,lat_acc,time,matchlink
3938903,972,Motorcycle,494.1,35.098166,37.991047,23.736304,60.9274,0.1111,0.0229,4.44,"(358464361, 631608665)"
3939023,972,Motorcycle,494.1,35.098166,37.991182,23.735429,54.347,-0.9831,0.1179,9.24,"(631608665, 625958232)"
3939083,972,Motorcycle,494.1,35.098166,37.991243,23.735044,50.5908,-0.145,0.0064,11.64,"(631608665, 625958232)"
3939203,972,Motorcycle,494.1,35.098166,37.991364,23.734308,43.9189,-0.9113,-0.1336,16.44,"(631608665, 625958232)"
3939383,972,Motorcycle,494.1,35.098166,37.991468,23.733554,25.138,-0.6136,-0.0165,23.64,"(625958232, 516020343)"
3939503,972,Motorcycle,494.1,35.098166,37.991527,23.733183,28.0186,0.7918,0.1929,28.44,"(625958232, 516020343)"
3939623,972,Motorcycle,494.1,35.098166,37.991603,23.732766,28.6404,0.912,-0.0369,33.24,"(516020343, 358464177)"
3939683,972,Motorcycle,494.1,35.098166,37.991631,23.732552,25.0808,-0.7205,0.2535,35.64,"(516020343, 358464177)"
3939863,972,Motorcycle,494.1,35.098166,37.991733,23.732041,27.9485,0.1322,0.2883,42.84,"(358464177, 516020362)"
3940163,972,Motorcycle,494.1,35.098166,37.992508,23.731544,27.4091,-2.3052,0.4886,54.84,"(516020362, 8207556731)"
3940170,972,Motorcycle,494.1,35.098166,37.992524,23.731549,26.2513,-2.3937,0.6278,55.12,"(8207556731, 6943632782)"
