,track_id,type,traveled_d,avg_speed,lat,lon,speed,lon_acc,lat_acc,time,matchlink
22078479,6309,Car,266.98,16.224088,37.983522,23.726733,21.293,-0.181,-0.0532,599.4,"(7214467394, 363357735)"
22078599,6309,Car,266.98,16.224088,37.983661,23.727066,38.4415,3.2208,2.5843,604.2,"(7214467394, 363357735)"
22078659,6309,Car,266.98,16.224088,37.983732,23.727295,25.1498,0.5752,0.8468,606.6,"(7214467394, 363357735)"
22078719,6309,Car,266.98,16.224088,37.98381,23.727465,27.8115,0.4645,1.631,609.0,"(7214467394, 363357735)"
22078779,6309,Car,266.98,16.224088,37.983834,23.72768,31.9961,0.9467,1.3463,611.4,"(7214467394, 363357735)"
22078899,6309,Car,266.98,16.224088,37.983767,23.728166,28.6037,-0.5804,-0.02,616.2,"(7214467394, 363357735)"
22078959,6309,Car,266.98,16.224088,37.983734,23.72836,23.6143,-0.5904,0.7481,618.6,"(7214467394, 363357735)"
22079019,6309,Car,266.98,16.224088,37.983676,23.728511,23.4636,1.1449,1.4381,621.0,"(7214467394, 363357735)"
22079079,6309,Car,266.98,16.224088,37.983559,23.728639,24.874,-0.7709,0.2299,623.4,"(7214467394, 363357735)"
22079199,6309,Car,266.98,16.224088,37.983379,23.728794,13.0602,-0.1866,-0.0601,628.2,"(7214467394, 363357735)"
22079259,6309,Car,266.98,16.224088,37.983318,23.728846,10.9715,-0.309,-0.0206,630.6,"(7214467394, 363357735)"
22079319,6309,Car,266.98,16.224088,37.983275,23.728886,6.1615,-0.9135,0.0134,633.0,"(7214467394, 363357735)"
22079379,6309,Car,266.98,16.224088,37.983263,23.728897,0.0293,-0.0884,0.0002,635.4,"(7214467394, 363357735)"
22079499,6309,Car,266.98,16.224088,37.983263,23.728897,0.0,0.0,0.0,640.2,"(7214467394, 363357735)"
22079559,6309,Car,266.98,16.224088,37.983263,23.728897,0.0,0.0,0.0,642.6,"(7214467394, 363357735)"
22079619,6309,Car,266.98,16.224088,37.983263,23.728897,0.0,0.0,0.0,645.0,"(7214467394, 363357735)"
22079679,6309,Car,266.98,16.224088,37.983263,23.728897,0.0,-0.0,0.0,647.4,"(7214467394, 363357735)"
22079799,6309,Car,266.98,16.224088,37.983218,23.728934,16.3042,0.6454,-0.1003,652.2,"(363357735, 250700142)"
22079859,6309,Car,266.98,16.224088,37.983128,23.729017,20.1957,0.461,0.1141,654.6,"(363357735, 250700142)"
22079919,6309,Car,266.98,16.224088,37.983021,23.729109,21.3951,-0.0211,-0.0941,657.0,"(363357735, 250700142)"
22079960,6309,Car,266.98,16.224088,37.982948,23.729175,22.656,0.4913,-0.0932,658.64,"(363357735, 250700142)"
