,track_id,type,traveled_d,avg_speed,lat,lon,speed,lon_acc,lat_acc,time,matchlink
2756115,647,Taxi,1025.97,20.099533,37.983639,23.728393,0.0,0.0,0.0,0.0,"(7214467394, 363357735)"
2756175,647,Taxi,1025.97,20.099533,37.983639,23.728393,0.0,0.0,0.0,2.4,"(7214467394, 363357735)"
2756235,647,Taxi,1025.97,20.099533,37.983639,23.728393,0.0,0.0,0.0,4.8,"(7214467394, 363357735)"
2756295,647,Taxi,1025.97,20.099533,37.983639,23.728393,0.0,0.0,0.0,7.2,"(7214467394, 363357735)"
2756355,647,Taxi,1025.97,20.099533,37.983639,23.728393,0.0,0.0,0.0,9.6,"(7214467394, 363357735)"
2756415,647,Taxi,1025.97,20.099533,37.983639,23.728393,0.0,0.0,0.0,12.0,"(7214467394, 363357735)"
2756475,647,Taxi,1025.97,20.099533,37.983639,23.728393,0.0,0.0,0.0,14.4,"(7214467394, 363357735)"
2756535,647,Taxi,1025.97,20.099533,37.983639,23.728393,0.0,0.0,0.0,16.8,"(7214467394, 363357735)"
2756595,647,Taxi,1025.97,20.099533,37.983639,23.728393,0.0,0.0,0.0,19.2,"(7214467394, 363357735)"
2756655,647,Taxi,1025.97,20.099533,37.983639,23.728393,0.0,0.0,0.0,21.6,"(7214467394, 363357735)"
2756715,647,Taxi,1025.97,20.099533,37.983639,23.728393,0.0,0.0,0.0,24.0,"(7214467394, 363357735)"
2756835,647,Taxi,1025.97,20.099533,37.983639,23.728393,0.0,0.0,0.0,28.8,"(7214467394, 363357735)"
2756895,647,Taxi,1025.97,20.099533,37.983639,23.728393,0.0,0.0,0.0,31.2,"(7214467394, 363357735)"
2756955,647,Taxi,1025.97,20.099533,37.983639,23.728393,0.0,0.0,0.0,33.6,"(7214467394, 363357735)"
2757015,647,Taxi,1025.97,20.099533,37.983639,23.728393,0.0,0.0,0.0,36.0,"(7214467394, 363357735)"
2757075,647,Taxi,1025.97,20.099533,37.983639,23.728393,0.0,0.0,0.0,38.4,"(7214467394, 363357735)"
2757195,647,Taxi,1025.97,20.099533,37.983639,23.728393,0.0,0.0,0.0,43.2,"(7214467394, 363357735)"
2757255,647,Taxi,1025.97,20.099533,37.983639,23.728393,0.0,0.0,0.0,45.6,"(7214467394, 363357735)"
2757315,647,Taxi,1025.97,20.099533,37.983639,23.728393,0.0,0.0,0.0,48.0,"(7214467394, 363357735)"
2757375,647,Taxi,1025.97,20.099533,37.983639,23.728393,0.0,0.0,0.0,50.4,"(7214467394, 363357735)"
2757495,647,Taxi,1025.97,20.099533,37.983639,23.728393,0.0,0.0,0.0,55.2,"(7214467394, 363357735)"
2757555,647,Taxi,1025.97,20.099533,37.983639,23.728393,0.0,0.0,-0.0,57.6,"(7214467394, 363357735)"
2757615,647,Taxi,1025.97,20.099533,37.983639,23.728393,0.855,0.6839,-0.0356,60.0,"(7214467394, 363357735)"
2757675,647,Taxi,1025.97,20.099533,37.983637,23.728416,4.9329,0.4156,0.0801,62.4,"(7214467394, 363357735)"
2757795,647,Taxi,1025.97,20.099533,37.983628,23.728485,2.4541,-0.2255,0.1468,67.2,"(7214467394, 363357735)"
2757915,647,Taxi,1025.97,20.099533,37.98356,23.728571,20.168,1.57,0.2208,72.0,"(7214467394, 363357735)"
2757975,647,Taxi,1025.97,20.099533,37.983441,23.728677,27.166,0.6279,0.0938,74.4,"(7214467394, 363357735)"
2758035,647,Taxi,1025.97,20.099533,37.983296,23.728798,28.9928,-0.6474,0.1039,76.8,"(7214467394, 363357735)"
2758095,647,Taxi,1025.97,20.099533,37.98317,23.728902,20.9761,-0.9017,-0.002,79.2,"(363357735, 250700142)"
2758215,647,Taxi,1025.97,20.099533,37.983052,23.729004,3.865,-1.1132,0.0584,84.0,"(363357735, 250700142)"
2758275,647,Taxi,1025.97,20.099533,37.983048,23.729007,0.0001,0.0,0.0,86.4,"(363357735, 250700142)"
2758335,647,Taxi,1025.97,20.099533,37.983048,23.729007,0.0,0.0,0.0,88.8,"(363357735, 250700142)"
2758395,647,Taxi,1025.97,20.099533,37.983048,23.729007,0.0,0.0,0.0,91.2,"(363357735, 250700142)"
2758515,647,Taxi,1025.97,20.099533,37.983048,23.729007,0.0,0.0,0.0,96.0,"(363357735, 250700142)"
2758575,647,Taxi,1025.97,20.099533,37.983048,23.729007,0.0,0.0,0.0,98.4,"(363357735, 250700142)"
2758635,647,Taxi,1025.97,20.099533,37.983048,23.729007,0.0,0.0,0.0,100.8,"(363357735, 250700142)"
2758695,647,Taxi,1025.97,20.099533,37.983048,23.729007,0.0,0.0,0.0,103.2,"(363357735, 250700142)"
2758815,647,Taxi,1025.97,20.099533,37.983022,23.729026,11.6957,1.2296,-0.1134,108.0,"(363357735, 250700142)"
2758875,647,Taxi,1025.97,20.099533,37.982936,23.729094,19.0351,-0.169,0.2112,110.4,"(363357735, 250700142)"
2758935,647,Taxi,1025.97,20.099533,37.982831,23.729172,23.0239,0.6685,-0.4369,112.8,"(250700142, 250700344)"
2758995,647,Taxi,1025.97,20.099533,37.982696,23.729303,34.4424,1.0718,0.0626,115.2,"(250700142, 250700344)"
2759115,647,Taxi,1025.97,20.099533,37.982309,23.729654,43.3795,0.824,0.0098,120.0,"(250700344, 250691664)"
2759175,647,Taxi,1025.97,20.099533,37.982083,23.729849,47.3459,0.51,0.076,122.4,"(250700344, 250691664)"
2759235,647,Taxi,1025.97,20.099533,37.981835,23.730061,53.7719,1.2023,-0.2514,124.8,"(250700344, 250691664)"
2759295,647,Taxi,1025.97,20.099533,37.981553,23.730313,60.2153,0.5414,-0.016,127.2,"(250691664, 250691665)"
2759415,647,Taxi,1025.97,20.099533,37.980937,23.730849,62.6431,-0.1051,-0.0432,132.0,"(250691664, 250691665)"
2759475,647,Taxi,1025.97,20.099533,37.980629,23.731111,59.3898,-0.8618,0.1085,134.4,"(250691665, 250691666)"
2759535,647,Taxi,1025.97,20.099533,37.980348,23.731346,53.3824,-0.1466,0.0,136.8,"(250691665, 250691666)"
2759715,647,Taxi,1025.97,20.099533,37.979562,23.732012,50.1461,-0.8579,0.1269,144.0,"(250691666, 250709582)"
2759775,647,Taxi,1025.97,20.099533,37.979316,23.732209,48.3654,-0.3831,-0.0902,146.4,"(250709582, 250691668)"
2759835,647,Taxi,1025.97,20.099533,37.979085,23.732401,39.7171,-3.0792,-0.254,148.8,"(250709582, 250691668)"
2759955,647,Taxi,1025.97,20.099533,37.978735,23.732694,34.538,0.9023,-0.2396,153.6,"(250709582, 250691668)"
2760015,647,Taxi,1025.97,20.099533,37.978549,23.732874,44.013,0.895,0.4167,156.0,"(250691668, 250691669)"
2760075,647,Taxi,1025.97,20.099533,37.978308,23.733073,51.492,0.5512,-0.0469,158.4,"(250691668, 250691669)"
2760135,647,Taxi,1025.97,20.099533,37.978043,23.733289,53.9778,0.5068,-0.2505,160.8,"(250691669, 250691670)"
2760255,647,Taxi,1025.97,20.099533,37.977532,23.733714,48.5018,-0.2847,0.0232,165.6,"(250691669, 250691670)"
2760315,647,Taxi,1025.97,20.099533,37.977292,23.733918,47.1106,-0.5106,0.2254,168.0,"(250691670, 42240105)"
2760375,647,Taxi,1025.97,20.099533,37.977071,23.734099,39.6064,-1.044,-0.0061,170.4,"(250691670, 42240105)"
2760435,647,Taxi,1025.97,20.099533,37.976886,23.734251,33.4152,-0.94,-0.3237,172.8,"(250691670, 42240105)"
2760555,647,Taxi,1025.97,20.099533,37.976543,23.734469,32.2382,0.0549,1.852,177.6,"(250691670, 42240105)"
2760615,647,Taxi,1025.97,20.099533,37.976334,23.734427,38.3871,0.5321,0.7295,180.0,"(250691670, 42240105)"
2760675,647,Taxi,1025.97,20.099533,37.976097,23.734304,46.6873,0.5501,-0.0176,182.4,"(42240105, 250691272)"
2760709,647,Taxi,1025.97,20.099533,37.97595,23.734215,48.7601,0.5853,-0.3658,183.76,"(42240105, 250691272)"
