,track_id,type,traveled_d,avg_speed,lat,lon,speed,lon_acc,lat_acc,time,matchlink
19098725,5213,Motorcycle,399.3,16.409597,37.988781,23.725073,45.8363,0.067,-0.0062,474.48,"(97834829, 97834834)"
19099025,5213,Motorcycle,399.3,16.409597,37.987841,23.725955,31.1846,0.6112,0.3364,486.48,"(97834834, 95663474)"
19099325,5213,Motorcycle,399.3,16.409597,37.987245,23.726512,0.0005,-0.0004,0.0,498.48,"(95663474, 962356740)"
19099625,5213,Motorcycle,399.3,16.409597,37.987245,23.726512,0.0,0.0,0.0,510.48,"(962356740, 31179466)"
19099865,5213,Motorcycle,399.3,16.409597,37.987245,23.726512,0.0,0.0,0.0,520.08,"(962356740, 31179466)"
19099925,5213,Motorcycle,399.3,16.409597,37.987245,23.726512,0.0002,0.0,0.0,522.48,"(31179466, 962356923)"
19100165,5213,Motorcycle,399.3,16.409597,37.986927,23.726892,14.2045,-2.8133,0.1308,532.08,"(962356923, 962356608)"
19100225,5213,Motorcycle,399.3,16.409597,37.986901,23.726922,2.9728,0.5787,0.3155,534.48,"(962356923, 962356608)"
19100465,5213,Motorcycle,399.3,16.409597,37.986481,23.727141,26.1207,-1.7884,0.1118,544.08,"(962356608, 300398465)"
19100525,5213,Motorcycle,399.3,16.409597,37.986368,23.72719,13.7159,-1.5658,-0.2236,546.48,"(962356608, 300398465)"
19100765,5213,Motorcycle,399.3,16.409597,37.986011,23.727235,25.7552,-0.1811,-0.043,556.08,"(300398465, 95663385)"
19100825,5213,Motorcycle,399.3,16.409597,37.985887,23.727206,13.8897,-2.4056,0.1353,558.48,"(300398465, 95663385)"
19100915,5213,Motorcycle,399.3,16.409597,37.985754,23.727172,22.6818,-0.6784,-0.0117,562.08,"(95663385, 95663386)"
