,track_id,type,traveled_d,avg_speed,lat,lon,speed,lon_acc,lat_acc,time,matchlink
20329799,4916,Car,355.76,6.712441,37.98274,23.735453,16.4906,-0.0911,0.0651,352.24,"(250699615, 10134034285)"
20329919,4916,Car,355.76,6.712441,37.982647,23.735253,4.6183,-0.996,-0.0412,357.04,"(250699615, 10134034285)"
20330099,4916,Car,355.76,6.712441,37.982573,23.7351,10.1141,-0.1137,0.8127,364.24,"(250699615, 10134034285)"
20330219,4916,Car,355.76,6.712441,37.982663,23.734942,19.4468,0.5349,0.0374,369.04,"(10134034285, 250699711)"
20330399,4916,Car,355.76,6.712441,37.982978,23.734702,21.3108,-0.2242,0.0911,376.24,"(10134034285, 250699711)"
20330519,4916,Car,355.76,6.712441,37.983142,23.734582,9.8545,-0.9,0.1481,381.04,"(250699711, 250708641)"
20330699,4916,Car,355.76,6.712441,37.983169,23.734564,2.8459,0.8368,0.1298,388.24,"(250699711, 250708641)"
20330819,4916,Car,355.76,6.712441,37.98327,23.734481,11.9878,-0.3676,-0.1859,393.04,"(250699711, 250708641)"
20330999,4916,Car,355.76,6.712441,37.983551,23.734266,23.5856,0.255,-0.0981,400.24,"(250708641, 250706958)"
20331119,4916,Car,355.76,6.712441,37.983724,23.734126,7.8836,-1.3831,0.0787,405.04,"(250708641, 250706958)"
20331299,4916,Car,355.76,6.712441,37.983736,23.734118,0.0,0.0,0.0,412.24,"(250708641, 250706958)"
20331419,4916,Car,355.76,6.712441,37.983736,23.734118,0.0,0.0,0.0,417.04,"(250708641, 250706958)"
20331599,4916,Car,355.76,6.712441,37.983736,23.734118,0.0,0.0,0.0,424.24,"(250708641, 250706958)"
20331719,4916,Car,355.76,6.712441,37.983736,23.734118,0.0,0.0,0.0,429.04,"(250708641, 250706958)"
20331899,4916,Car,355.76,6.712441,37.983736,23.734118,0.0,0.0,0.0,436.24,"(250708641, 250706958)"
20332019,4916,Car,355.76,6.712441,37.983736,23.734118,0.0,0.0,0.0,441.04,"(250708641, 250706958)"
20332199,4916,Car,355.76,6.712441,37.983736,23.734118,0.0,0.0,0.0,448.24,"(250708641, 250706958)"
20332319,4916,Car,355.76,6.712441,37.983736,23.734118,0.0,0.0,0.0,453.04,"(250708641, 250706958)"
20332499,4916,Car,355.76,6.712441,37.983736,23.734118,0.0,0.0,0.0,460.24,"(250708641, 250706958)"
20332619,4916,Car,355.76,6.712441,37.983736,23.734118,0.0,0.0,0.0,465.04,"(250708641, 250706958)"
20332799,4916,Car,355.76,6.712441,37.983736,23.734118,0.0,0.0,0.0,472.24,"(250708641, 250706958)"
20332919,4916,Car,355.76,6.712441,37.983736,23.734118,0.0,0.0,0.0,477.04,"(250708641, 250706958)"
20333099,4916,Car,355.76,6.712441,37.983736,23.734118,0.0,0.0,0.0,484.24,"(250708641, 250706958)"
20333219,4916,Car,355.76,6.712441,37.983736,23.734118,0.0,0.0,0.0,489.04,"(250708641, 250706958)"
20333399,4916,Car,355.76,6.712441,37.983736,23.734118,0.0,0.0,0.0,496.24,"(250708641, 250706958)"
20333519,4916,Car,355.76,6.712441,37.983736,23.734118,0.0,0.0,0.0,501.04,"(250708641, 250706958)"
20333699,4916,Car,355.76,6.712441,37.983736,23.734118,0.0006,0.0001,-0.0,508.24,"(250708641, 250706958)"
20333879,4916,Car,355.76,6.712441,37.983764,23.734093,0.866,-1.321,-0.0096,515.44,"(250708641, 250706958)"
20333939,4916,Car,355.76,6.712441,37.98377,23.734085,0.0157,-0.0747,0.0,517.84,"(250708641, 250706958)"
20333999,4916,Car,355.76,6.712441,37.98377,23.734085,0.0005,0.0001,0.0,520.24,"(250708641, 250706958)"
20334179,4916,Car,355.76,6.712441,37.983925,23.73393,25.7816,0.2506,0.1552,527.44,"(250706958, 388172075)"
20334239,4916,Car,355.76,6.712441,37.984055,23.733809,31.4145,2.0571,0.1201,529.84,"(250706958, 388172075)"
20334299,4916,Car,355.76,6.712441,37.984255,23.733659,41.2688,-0.3097,0.0174,532.24,"(250706958, 388172075)"
20334479,4916,Car,355.76,6.712441,37.984747,23.733272,23.7077,0.1423,-0.0804,539.44,"(388172075, 250700339)"
20334539,4916,Car,355.76,6.712441,37.984871,23.733173,27.7016,1.6722,0.2259,541.84,"(250700339, 250706959)"
20334569,4916,Car,355.76,6.712441,37.98495,23.733114,31.0553,-0.2285,0.0554,543.04,"(250700339, 250706959)"
