,track_id,type,traveled_d,avg_speed,lat,lon,speed,lon_acc,lat_acc,time,matchlink
19755010,4769,Car,602.51,25.711472,37.987505,23.73063,13.4308,0.0681,-0.0027,338.64,"(97788586, 97788195)"
19755070,4769,Car,602.51,25.711472,37.987523,23.730529,13.5276,-0.0592,-0.0279,341.04,"(97788586, 97788195)"
19755130,4769,Car,602.51,25.711472,37.987539,23.730433,12.0701,-0.3908,0.3163,343.44,"(97788586, 97788195)"
19755250,4769,Car,602.51,25.711472,37.987657,23.730342,22.1221,0.9929,1.2412,348.24,"(97788195, 97788202)"
19755310,4769,Car,602.51,25.711472,37.987797,23.730372,26.3514,1.0945,-0.0014,350.64,"(97788195, 97788202)"
19755370,4769,Car,602.51,25.711472,37.987978,23.730415,34.8839,1.1463,0.1085,353.04,"(97788195, 97788202)"
19755430,4769,Car,602.51,25.711472,37.98819,23.730468,36.5543,0.5999,-0.2872,355.44,"(97788195, 97788202)"
19755550,4769,Car,602.51,25.711472,37.988639,23.73058,38.592,-0.0025,-0.1842,360.24,"(97788195, 97788202)"
19755610,4769,Car,602.51,25.711472,37.988869,23.730629,42.5796,1.5347,0.2287,362.64,"(97788195, 97788202)"
19755670,4769,Car,602.51,25.711472,37.989122,23.73069,41.7933,-0.0648,0.1332,365.04,"(97788195, 97788202)"
19755730,4769,Car,602.51,25.711472,37.98937,23.730755,43.0359,0.2176,-0.2805,367.44,"(97788195, 97788202)"
19755850,4769,Car,602.51,25.711472,37.989878,23.730866,42.7769,-0.4975,0.1043,372.24,"(97788202, 97788210)"
19755910,4769,Car,602.51,25.711472,37.990124,23.73092,41.0526,-0.0894,0.0876,374.64,"(97788210, 97797102)"
19755970,4769,Car,602.51,25.711472,37.990364,23.730975,39.21,-0.1613,0.0285,377.04,"(97788210, 97797102)"
19756030,4769,Car,602.51,25.711472,37.990592,23.73103,37.7127,-0.4577,0.0948,379.44,"(97788210, 97797102)"
19756150,4769,Car,602.51,25.711472,37.990982,23.731125,29.519,-0.1622,0.1129,384.24,"(97797102, 515962403)"
19756210,4769,Car,602.51,25.711472,37.991139,23.731166,21.2931,-1.4686,0.0298,386.64,"(97797102, 515962403)"
19756270,4769,Car,602.51,25.711472,37.991222,23.731189,6.4744,-1.2963,0.2145,389.04,"(97797102, 515962403)"
19756330,4769,Car,602.51,25.711472,37.991234,23.731194,3.3792,1.9317,-0.067,391.44,"(97797102, 515962403)"
19756450,4769,Car,602.51,25.711472,37.991337,23.73123,5.8958,-0.8742,-0.0107,396.24,"(515962403, 5921003579)"
19756510,4769,Car,602.51,25.711472,37.991346,23.731234,0.0,-0.0001,-0.0,398.64,"(515962403, 5921003579)"
19756570,4769,Car,602.51,25.711472,37.99135,23.731236,4.8862,1.8007,-0.112,401.04,"(515962403, 5921003579)"
19756630,4769,Car,602.51,25.711472,37.991413,23.731258,14.9892,0.9382,0.2452,403.44,"(515962403, 5921003579)"
19756750,4769,Car,602.51,25.711472,37.991645,23.731346,25.6579,0.6922,-0.1124,408.24,"(515962403, 5921003579)"
19756810,4769,Car,602.51,25.711472,37.991805,23.731397,27.4216,-0.3958,-0.1572,410.64,"(5921003579, 5581434217)"
19756870,4769,Car,602.51,25.711472,37.991969,23.731435,29.8104,0.4703,-0.148,413.04,"(5581434217, 8207556731)"
19756930,4769,Car,602.51,25.711472,37.992153,23.731467,31.6045,-0.0526,0.3107,415.44,"(8207556731, 6943632782)"
19757050,4769,Car,602.51,25.711472,37.992506,23.731544,26.5052,-0.6083,-0.2589,420.24,"(6943632782, 358466006)"
19757110,4769,Car,602.51,25.711472,37.992652,23.731578,23.4603,-0.3154,-0.2704,422.64,"(6943632782, 358466006)"
19757119,4769,Car,602.51,25.711472,37.992673,23.731582,23.1758,-0.2198,-0.2131,423.0,"(6943632782, 358466006)"
