,track_id,type,traveled_d,avg_speed,lat,lon,speed,lon_acc,lat_acc,time,matchlink
32592094,8316,Motorcycle,1304.65,24.882117,37.986031,23.724819,28.3749,-0.0362,-0.0428,707.2,"(3879024943, 3879024939)"
32592394,8316,Motorcycle,1304.65,24.882117,37.986506,23.725631,21.6075,0.6887,-0.0156,719.2,"(3879024939, 95663461)"
32592694,8316,Motorcycle,1304.65,24.882117,37.986912,23.726379,21.6248,-1.0334,0.1485,731.2,"(95663461, 95663464)"
32592994,8316,Motorcycle,1304.65,24.882117,37.987078,23.726704,20.2407,2.7616,-0.0573,743.2,"(95663464, 962356674)"
32593294,8316,Motorcycle,1304.65,24.882117,37.987651,23.727654,33.4345,-0.0855,0.2606,755.2,"(962356674, 95663392)"
32593594,8316,Motorcycle,1304.65,24.882117,37.988188,23.728508,17.8711,2.096,0.0223,767.2,"(95663392, 95663402)"
32593894,8316,Motorcycle,1304.65,24.882117,37.988632,23.729193,33.8412,1.282,-0.1667,779.2,"(95663402, 961530806)"
32594194,8316,Motorcycle,1304.65,24.882117,37.989226,23.730203,38.8495,-0.3063,0.4175,791.2,"(961530806, 597677303)"
32594494,8316,Motorcycle,1304.65,24.882117,37.989738,23.730896,21.0768,0.6788,-0.2975,803.2,"(597677303, 97788202)"
32594794,8316,Motorcycle,1304.65,24.882117,37.990575,23.731078,26.1047,1.02,-0.4687,815.2,"(97788202, 97788210)"
32595094,8316,Motorcycle,1304.65,24.882117,37.991303,23.731355,18.9743,0.2017,0.4672,827.2,"(97788210, 97797102)"
32595394,8316,Motorcycle,1304.65,24.882117,37.991525,23.732084,10.0624,-0.9388,0.4248,839.2,"(97797102, 515962403)"
32595694,8316,Motorcycle,1304.65,24.882117,37.991513,23.732191,0.0,0.0,0.0,851.2,"(515962403, 358464213)"
32595994,8316,Motorcycle,1304.65,24.882117,37.991504,23.732361,26.9775,1.3907,0.9721,863.2,"(358464213, 358464174)"
32596294,8316,Motorcycle,1304.65,24.882117,37.991259,23.733787,24.4278,-1.1394,-0.177,875.2,"(358464174, 358464166)"
32596594,8316,Motorcycle,1304.65,24.882117,37.991138,23.734727,52.4806,0.7956,-0.0076,887.2,"(358464166, 358464040)"
32596813,8316,Motorcycle,1304.65,24.882117,37.99091,23.736263,72.0087,3.6434,-2.7648,895.96,"(358464040, 358464027)"
