,track_id,type,traveled_d,avg_speed,lat,lon,speed,lon_acc,lat_acc,time,matchlink
33409618,8626,Taxi,353.93,22.623107,37.979236,23.733692,20.6591,-0.0163,-0.4072,744.32,"(250691668, 250698924)"
33409918,8626,Taxi,353.93,22.623107,37.979811,23.733469,2.9208,-1.3485,0.0195,756.32,"(250698924, 250698926)"
33410218,8626,Taxi,353.93,22.623107,37.980138,23.73318,29.8829,0.0672,0.1031,768.32,"(250698924, 250698926)"
33410518,8626,Taxi,353.93,22.623107,37.980885,23.733209,41.7388,2.0653,0.4651,780.32,"(250698924, 250698926)"
33410818,8626,Taxi,353.93,22.623107,37.981531,23.734352,12.0977,-0.0848,-0.4585,792.32,"(250698926, 250699982)"
33411026,8626,Taxi,353.93,22.623107,37.981614,23.734416,6.9204,0.0144,0.096,800.64,"(250698926, 250699982)"
