,track_id,type,traveled_d,avg_speed,lat,lon,speed,lon_acc,lat_acc,time,matchlink
741415,195,Motorcycle,412.13,44.688664,37.989244,23.729259,40.4064,0.3632,0.0339,0.0,"(95663400, 95663631)"
741475,195,Motorcycle,412.13,44.688664,37.989496,23.729323,44.6093,-0.1706,-0.0169,2.4,"(95663400, 95663631)"
741535,195,Motorcycle,412.13,44.688664,37.989745,23.729392,40.4275,0.0457,-0.38,4.8,"(95663631, 95663394)"
741595,195,Motorcycle,412.13,44.688664,37.989989,23.729454,43.716,0.6393,-0.0718,7.2,"(95663631, 95663394)"
741655,195,Motorcycle,412.13,44.688664,37.99026,23.729524,47.0662,-0.1195,0.0276,9.6,"(95663394, 635126483)"
741715,195,Motorcycle,412.13,44.688664,37.99053,23.72959,43.5329,-0.499,0.013,12.0,"(95663394, 635126483)"
741775,195,Motorcycle,412.13,44.688664,37.990784,23.729649,43.1692,0.1552,0.089,14.4,"(95663394, 635126483)"
741835,195,Motorcycle,412.13,44.688664,37.991046,23.729716,45.9305,0.2028,0.1583,16.8,"(95663394, 635126483)"
741895,195,Motorcycle,412.13,44.688664,37.991307,23.729795,41.602,-0.7082,-0.2441,19.2,"(635126483, 97788471)"
741955,195,Motorcycle,412.13,44.688664,37.991551,23.729854,44.4839,1.007,0.0184,21.6,"(97788471, 358465410)"
742015,195,Motorcycle,412.13,44.688664,37.991832,23.729915,49.0927,0.2561,0.108,24.0,"(97788471, 358465410)"
742135,195,Motorcycle,412.13,44.688664,37.992402,23.730051,41.8196,-0.7939,-0.021,28.8,"(358465410, 635122963)"
742195,195,Motorcycle,412.13,44.688664,37.992656,23.7301,47.7698,1.2248,0.1892,31.2,"(358465410, 635122963)"
742245,195,Motorcycle,412.13,44.688664,37.992892,23.730153,47.0975,-0.1088,0.264,33.2,"(635122963, 635122988)"
