,track_id,type,traveled_d,avg_speed,lat,lon,speed,lon_acc,lat_acc,time,matchlink
28187508,6982,Motorcycle,2081.91,25.279487,37.975799,23.735743,26.7884,0.1243,-0.3077,568.92,"(954712428, 250691847)"
28187568,6982,Motorcycle,2081.91,25.279487,37.975972,23.735761,29.8708,-0.1409,0.1359,571.32,"(250691847, 2511789008)"
28187628,6982,Motorcycle,2081.91,25.279487,37.976154,23.735773,31.6153,0.5586,0.0747,573.72,"(2511789008, 250691827)"
28187688,6982,Motorcycle,2081.91,25.279487,37.976356,23.735785,35.1561,-0.0073,0.2998,576.12,"(2511789008, 250691827)"
28187748,6982,Motorcycle,2081.91,25.279487,37.976561,23.735809,32.6466,-0.3936,-0.2539,578.52,"(250691827, 3339821648)"
28187808,6982,Motorcycle,2081.91,25.279487,37.976753,23.735827,30.3524,-0.9887,-0.2934,580.92,"(250691827, 3339821648)"
28187868,6982,Motorcycle,2081.91,25.279487,37.976918,23.73581,26.8598,0.4551,-1.5289,583.32,"(3339821648, 250691723)"
28187928,6982,Motorcycle,2081.91,25.279487,37.977072,23.735708,31.1309,0.4421,-0.3004,585.72,"(3339821648, 250691723)"
28187988,6982,Motorcycle,2081.91,25.279487,37.977236,23.735566,35.5287,0.7182,-0.1256,588.12,"(3339821648, 250691723)"
28188048,6982,Motorcycle,2081.91,25.279487,37.977423,23.735394,41.8044,0.8122,0.178,590.52,"(3339821648, 250691723)"
28188108,6982,Motorcycle,2081.91,25.279487,37.977641,23.735205,44.7787,0.101,0.0382,592.92,"(3339821648, 250691723)"
28188168,6982,Motorcycle,2081.91,25.279487,37.977865,23.735012,45.4317,0.085,-0.0765,595.32,"(3339821648, 250691723)"
28188228,6982,Motorcycle,2081.91,25.279487,37.978094,23.734815,46.7632,0.0529,0.0492,597.72,"(250691723, 250691724)"
28188288,6982,Motorcycle,2081.91,25.279487,37.978334,23.73461,50.3434,0.1986,0.2123,600.12,"(250691723, 250691724)"
28188348,6982,Motorcycle,2081.91,25.279487,37.978589,23.734398,50.9876,0.0481,-0.2864,602.52,"(250691723, 250691724)"
28188408,6982,Motorcycle,2081.91,25.279487,37.978841,23.734174,50.6137,-0.4054,0.093,604.92,"(250691724, 250698924)"
28188468,6982,Motorcycle,2081.91,25.279487,37.979079,23.733969,46.3026,0.2653,0.2221,607.32,"(250691724, 250698924)"
28188528,6982,Motorcycle,2081.91,25.279487,37.979314,23.733771,46.9362,0.0265,-0.1896,609.72,"(250698924, 250698926)"
28188588,6982,Motorcycle,2081.91,25.279487,37.979545,23.733563,48.3066,0.2347,0.1155,612.12,"(250698924, 250698926)"
28188648,6982,Motorcycle,2081.91,25.279487,37.97979,23.73335,50.0663,-0.1545,0.2234,614.52,"(250698924, 250698926)"
28188708,6982,Motorcycle,2081.91,25.279487,37.980041,23.733147,49.6854,0.15,-0.0661,616.92,"(250698924, 250698926)"
28188768,6982,Motorcycle,2081.91,25.279487,37.980295,23.73294,50.6384,0.0103,-0.019,619.32,"(250698924, 250698926)"
28188828,6982,Motorcycle,2081.91,25.279487,37.98055,23.732728,51.4631,0.4924,0.0007,621.72,"(250698924, 250698926)"
28188888,6982,Motorcycle,2081.91,25.279487,37.980817,23.732506,53.6536,-0.0477,0.0667,624.12,"(250698924, 250698926)"
28188948,6982,Motorcycle,2081.91,25.279487,37.981082,23.732287,51.8124,0.0019,-0.0838,626.52,"(250698924, 250698926)"
28189008,6982,Motorcycle,2081.91,25.279487,37.981341,23.732068,51.7087,-0.0428,-0.0101,628.92,"(250698926, 250699982)"
28189068,6982,Motorcycle,2081.91,25.279487,37.9816,23.731846,53.1229,0.3223,-0.0056,631.32,"(250699982, 250699983)"
28189128,6982,Motorcycle,2081.91,25.279487,37.981871,23.731615,55.3661,0.178,0.0709,633.72,"(250699982, 250699983)"
28189188,6982,Motorcycle,2081.91,25.279487,37.982149,23.731379,55.7025,-0.2795,-0.0114,636.12,"(250699983, 250702474)"
28189248,6982,Motorcycle,2081.91,25.279487,37.98242,23.731145,54.5886,0.063,0.0804,638.52,"(250702474, 250700248)"
28189308,6982,Motorcycle,2081.91,25.279487,37.982689,23.730918,52.8011,-0.2012,-0.0088,640.92,"(250702474, 250700248)"
28189368,6982,Motorcycle,2081.91,25.279487,37.982948,23.730696,51.9709,0.0218,0.0919,643.32,"(250702474, 250700248)"
28189428,6982,Motorcycle,2081.91,25.279487,37.983208,23.730482,50.8744,-0.3088,-0.2496,645.72,"(250702474, 250700248)"
28189488,6982,Motorcycle,2081.91,25.279487,37.983455,23.730275,47.2139,-0.6394,0.3003,648.12,"(250700248, 250714051)"
28189548,6982,Motorcycle,2081.91,25.279487,37.983675,23.730093,39.9828,-0.7804,-1.1591,650.52,"(250700248, 250714051)"
28189608,6982,Motorcycle,2081.91,25.279487,37.983817,23.729908,29.7064,-0.3451,-1.8946,652.92,"(250700248, 250714051)"
28189668,6982,Motorcycle,2081.91,25.279487,37.983877,23.729719,22.0793,-0.9674,-0.1883,655.32,"(250700248, 250714051)"
28189728,6982,Motorcycle,2081.91,25.279487,37.983903,23.729609,7.0433,-1.1502,-0.1699,657.72,"(250700248, 250714051)"
28189788,6982,Motorcycle,2081.91,25.279487,37.98391,23.729573,4.1311,0.0341,-0.1584,660.12,"(250700248, 250714051)"
28189848,6982,Motorcycle,2081.91,25.279487,37.983909,23.729546,2.0378,0.035,0.2652,662.52,"(250700248, 250714051)"
28189908,6982,Motorcycle,2081.91,25.279487,37.983917,23.729527,6.6966,1.455,-0.0974,664.92,"(250700248, 250714051)"
28189968,6982,Motorcycle,2081.91,25.279487,37.983961,23.72946,13.8035,-0.2703,1.5879,667.32,"(250700248, 250714051)"
28190028,6982,Motorcycle,2081.91,25.279487,37.984052,23.729429,19.2833,0.0381,1.21,669.72,"(250700248, 250714051)"
28190088,6982,Motorcycle,2081.91,25.279487,37.98417,23.729447,19.2583,-0.4033,-0.3331,672.12,"(250714051, 262236447)"
28190148,6982,Motorcycle,2081.91,25.279487,37.984291,23.729466,24.4739,0.7611,0.4146,674.52,"(250714051, 262236447)"
