,track_id,type,traveled_d,avg_speed,lat,lon,speed,lon_acc,lat_acc,time,matchlink
28186292,6981,Motorcycle,154.41,11.437707,37.984888,23.732027,17.2876,-0.009,-0.0491,568.92,"(388172083, 250700085)"
28186352,6981,Motorcycle,154.41,11.437707,37.984828,23.731917,17.2015,-0.173,0.0115,571.32,"(388172083, 250700085)"
28186412,6981,Motorcycle,154.41,11.437707,37.984771,23.731808,18.6719,0.8715,0.002,573.72,"(388172083, 250700085)"
28186472,6981,Motorcycle,154.41,11.437707,37.984703,23.731672,21.3816,-0.3125,0.186,576.12,"(250700085, 250707871)"
28186532,6981,Motorcycle,154.41,11.437707,37.984635,23.731538,20.8049,-0.0025,-0.0179,578.52,"(250700085, 250707871)"
28186592,6981,Motorcycle,154.41,11.437707,37.984568,23.731407,19.2126,-0.7414,0.0658,580.92,"(250700085, 250707871)"
28186652,6981,Motorcycle,154.41,11.437707,37.984513,23.7313,13.1952,-0.8184,-0.2064,583.32,"(250700085, 250707871)"
28186712,6981,Motorcycle,154.41,11.437707,37.984479,23.731242,6.2432,-0.3452,0.0084,585.72,"(250700085, 250707871)"
28186772,6981,Motorcycle,154.41,11.437707,37.984463,23.731206,5.0082,-0.1489,0.0909,588.12,"(250700085, 250707871)"
28186832,6981,Motorcycle,154.41,11.437707,37.984442,23.731166,9.4955,0.9161,-0.0024,590.52,"(250700085, 250707871)"
28186892,6981,Motorcycle,154.41,11.437707,37.98439,23.731079,17.6937,0.5013,0.016,592.92,"(250700085, 250707871)"
28186952,6981,Motorcycle,154.41,11.437707,37.984331,23.730978,12.1769,-0.9387,-0.107,595.32,"(250700085, 250707871)"
28187012,6981,Motorcycle,154.41,11.437707,37.984298,23.730925,7.0303,-0.377,0.0585,597.72,"(250700085, 250707871)"
28187072,6981,Motorcycle,154.41,11.437707,37.984279,23.730891,3.5376,-0.4362,0.0959,600.12,"(250700085, 250707871)"
28187132,6981,Motorcycle,154.41,11.437707,37.984277,23.730878,3.3215,0.9238,0.146,602.52,"(250700085, 250707871)"
28187192,6981,Motorcycle,154.41,11.437707,37.984275,23.730828,11.7896,1.7495,-1.5389,604.92,"(250700085, 250707871)"
28187252,6981,Motorcycle,154.41,11.437707,37.984227,23.73076,6.1559,-1.3953,-0.194,607.32,"(250707871, 250700343)"
28187312,6981,Motorcycle,154.41,11.437707,37.984192,23.730735,10.3881,0.0238,-1.1677,609.72,"(250707871, 250700343)"
28187372,6981,Motorcycle,154.41,11.437707,37.984134,23.730759,11.0647,-0.5881,-0.5259,612.12,"(250707871, 250700343)"
28187432,6981,Motorcycle,154.41,11.437707,37.9841,23.730801,5.3132,-0.3268,-0.4808,614.52,"(250707871, 250700343)"
28187492,6981,Motorcycle,154.41,11.437707,37.98409,23.730828,2.9985,0.027,0.1471,616.92,"(250707871, 250700343)"
28187507,6981,Motorcycle,154.41,11.437707,37.984087,23.730832,3.0627,0.1272,0.0706,617.52,"(250707871, 250700343)"
