,track_id,type,traveled_d,avg_speed,lat,lon,speed,lon_acc,lat_acc,time,matchlink
3496841,693,Taxi,869.33,13.40863,37.986133,23.728511,41.1637,0.4674,-0.252,0.0,"(95663422, 95663420)"
3496901,693,Taxi,869.33,13.40863,37.986377,23.728576,40.9481,-0.097,-0.1353,2.4,"(95663420, 962356679)"
3496961,693,Taxi,869.33,13.40863,37.98661,23.728636,38.4872,-0.0762,-0.1354,4.8,"(95663420, 962356679)"
3497021,693,Taxi,869.33,13.40863,37.986837,23.728692,39.0962,0.1431,-0.0279,7.2,"(962356679, 95663454)"
3497081,693,Taxi,869.33,13.40863,37.987072,23.728748,39.9871,-0.1104,0.3714,9.6,"(962356679, 95663454)"
3497141,693,Taxi,869.33,13.40863,37.987305,23.728808,38.8709,-0.3353,0.1166,12.0,"(95663454, 95663467)"
3497201,693,Taxi,869.33,13.40863,37.987519,23.728862,34.516,0.1258,-0.0414,14.4,"(95663454, 95663467)"
3497261,693,Taxi,869.33,13.40863,37.987732,23.728915,38.6097,0.6796,0.0928,16.8,"(95663454, 95663467)"
3497321,693,Taxi,869.33,13.40863,37.987973,23.728976,43.7171,0.2144,0.1582,19.2,"(95663467, 95663392)"
3497381,693,Taxi,869.33,13.40863,37.988223,23.729038,40.6258,-0.2518,0.1506,21.6,"(95663467, 95663392)"
3497441,693,Taxi,869.33,13.40863,37.98845,23.729095,37.778,0.1022,0.2296,24.0,"(95663467, 95663392)"
3497561,693,Taxi,869.33,13.40863,37.988894,23.729197,37.8917,-0.3376,0.1194,28.8,"(95663392, 95663400)"
3497621,693,Taxi,869.33,13.40863,37.989106,23.729245,33.8001,-0.3674,0.2667,31.2,"(95663400, 95663631)"
3497681,693,Taxi,869.33,13.40863,37.989291,23.729292,29.0537,-0.5235,-0.0418,33.6,"(95663400, 95663631)"
3497741,693,Taxi,869.33,13.40863,37.989456,23.729335,28.5192,-0.0339,-0.1845,36.0,"(95663400, 95663631)"
3497801,693,Taxi,869.33,13.40863,37.98962,23.729375,26.4,-0.5583,0.1482,38.4,"(95663631, 95663394)"
