,track_id,type,traveled_d,avg_speed,lat,lon,speed,lon_acc,lat_acc,time,matchlink
31067992,7835,Car,788.5,21.748271,37.975797,23.735726,35.1629,-0.0069,-0.0348,658.52,"(954712428, 250691847)"
31068112,7835,Car,788.5,21.748271,37.976218,23.735759,35.9142,-0.1077,0.2241,663.32,"(250691847, 2511789008)"
31068172,7835,Car,788.5,21.748271,37.976433,23.735782,35.8379,-0.3407,-0.1432,665.72,"(2511789008, 250691827)"
31068232,7835,Car,788.5,21.748271,37.976644,23.735801,33.7005,-1.1675,0.4467,668.12,"(250691827, 3339821648)"
31068292,7835,Car,788.5,21.748271,37.97681,23.73582,24.216,-0.1296,-0.4157,670.52,"(250691827, 3339821648)"
31068412,7835,Car,788.5,21.748271,37.977087,23.735687,28.8738,0.3041,0.0478,675.32,"(3339821648, 250691723)"
31068472,7835,Car,788.5,21.748271,37.977239,23.735549,35.4444,1.1622,0.5984,677.72,"(3339821648, 250691723)"
31068532,7835,Car,788.5,21.748271,37.977436,23.735378,43.877,0.9622,0.0542,680.12,"(3339821648, 250691723)"
31068592,7835,Car,788.5,21.748271,37.977663,23.735184,45.9817,0.3782,0.2209,682.52,"(3339821648, 250691723)"
31068712,7835,Car,788.5,21.748271,37.978155,23.734772,50.9,0.0521,0.0915,687.32,"(250691723, 250691724)"
31068772,7835,Car,788.5,21.748271,37.978413,23.734557,52.6487,0.1798,0.0793,689.72,"(250691723, 250691724)"
31068832,7835,Car,788.5,21.748271,37.978679,23.734336,53.9657,0.4154,0.0607,692.12,"(250691724, 250698924)"
31068892,7835,Car,788.5,21.748271,37.978954,23.734109,53.745,-0.3152,-0.1138,694.52,"(250691724, 250698924)"
31069012,7835,Car,788.5,21.748271,37.979492,23.733652,54.1452,0.0425,-0.1619,699.32,"(250698924, 250698926)"
31069072,7835,Car,788.5,21.748271,37.979755,23.733432,49.9733,-0.9786,0.0914,701.72,"(250698924, 250698926)"
31069132,7835,Car,788.5,21.748271,37.979975,23.733255,37.4357,-1.116,-0.1039,704.12,"(250698924, 250698926)"
31069192,7835,Car,788.5,21.748271,37.980139,23.733121,26.9317,-1.4181,0.2068,706.52,"(250698924, 250698926)"
31069312,7835,Car,788.5,21.748271,37.980396,23.732945,27.0916,0.7369,0.5035,711.32,"(250698924, 250698926)"
31069372,7835,Car,788.5,21.748271,37.980551,23.732894,23.0024,-0.4813,1.3257,713.72,"(250698924, 250698926)"
31069432,7835,Car,788.5,21.748271,37.980683,23.732926,22.5887,0.1348,1.2712,716.12,"(250698924, 250698926)"
31069492,7835,Car,788.5,21.748271,37.980788,23.733022,19.1883,-0.5515,0.851,718.52,"(250698926, 250699982)"
31069612,7835,Car,788.5,21.748271,37.980921,23.733262,18.8492,0.2346,-0.0535,723.32,"(250699982, 250699983)"
31069672,7835,Car,788.5,21.748271,37.98099,23.733384,21.356,0.9764,0.0364,725.72,"(250699983, 250699984)"
31069732,7835,Car,788.5,21.748271,37.981066,23.733522,17.5035,-1.3706,0.0733,728.12,"(250699984, 250699362)"
31069792,7835,Car,788.5,21.748271,37.981091,23.73357,0.4339,-0.2344,0.0,730.52,"(250699362, 599116897)"
31069912,7835,Car,788.5,21.748271,37.981091,23.73357,0.0003,0.0004,-0.0,735.32,"(599116897, 250699613)"
31069972,7835,Car,788.5,21.748271,37.981092,23.733572,1.0574,0.286,0.0,737.72,"(250699613, 250699359)"
31070032,7835,Car,788.5,21.748271,37.981087,23.733581,1.9062,-0.4854,-0.1662,740.12,"(250699613, 250699359)"
31070092,7835,Car,788.5,21.748271,37.981086,23.733586,1.9932,0.7867,-0.1111,742.52,"(250699613, 250699359)"
31070212,7835,Car,788.5,21.748271,37.981169,23.733737,20.6944,-0.0036,0.1152,747.32,"(250699613, 250699359)"
31070272,7835,Car,788.5,21.748271,37.981235,23.733862,16.6087,-1.4844,-0.1152,749.72,"(250699613, 250699359)"
31070332,7835,Car,788.5,21.748271,37.981259,23.733903,0.0497,-0.198,0.0025,752.12,"(250699613, 250699359)"
31070392,7835,Car,788.5,21.748271,37.981259,23.733903,0.0,-0.0,-0.0,754.52,"(250699613, 250699359)"
31070512,7835,Car,788.5,21.748271,37.981259,23.733903,0.0,0.0,0.0,759.32,"(250699613, 250699359)"
31070572,7835,Car,788.5,21.748271,37.981259,23.733903,0.0,0.0,0.0,761.72,"(250699613, 250699359)"
31070632,7835,Car,788.5,21.748271,37.981259,23.733903,0.0,0.0,0.0,764.12,"(250699613, 250699359)"
31070692,7835,Car,788.5,21.748271,37.981259,23.733903,0.0,0.0,0.0,766.52,"(250699613, 250699359)"
31070812,7835,Car,788.5,21.748271,37.981259,23.733903,0.0,0.0,0.0,771.32,"(250699613, 250699359)"
31070872,7835,Car,788.5,21.748271,37.981259,23.733903,0.0,0.0,0.0,773.72,"(250699613, 250699359)"
31070932,7835,Car,788.5,21.748271,37.981259,23.733903,0.0,0.0,0.0,776.12,"(250699613, 250699359)"
31070992,7835,Car,788.5,21.748271,37.98126,23.733904,2.6195,1.756,0.2526,778.52,"(250699359, 8446047162)"
31071112,7835,Car,788.5,21.748271,37.981366,23.734099,23.3636,0.6805,-0.4737,783.32,"(250699359, 8446047162)"
31071172,7835,Car,788.5,21.748271,37.981475,23.734239,27.2101,-0.1062,0.0709,785.72,"(250699359, 8446047162)"
31071232,7835,Car,788.5,21.748271,37.981593,23.734375,21.566,-2.9335,1.0288,788.12,"(250699359, 8446047162)"
31071255,7835,Car,788.5,21.748271,37.981618,23.734415,16.7928,0.1503,0.5334,789.04,"(250699359, 8446047162)"
