,track_id,type,traveled_d,avg_speed,lat,lon,speed,lon_acc,lat_acc,time,matchlink
21509884,5206,Car,72.08,27.031302,37.984725,23.733293,21.5674,0.9866,-0.1028,382.84,"(250700339, 364104830)"
21509944,5206,Car,72.08,27.031302,37.984806,23.733446,25.8931,0.2208,-0.0881,385.24,"(250700339, 364104830)"
21510004,5206,Car,72.08,27.031302,37.984898,23.733612,27.4235,0.1334,0.0736,387.64,"(250700339, 364104830)"
21510064,5206,Car,72.08,27.031302,37.984991,23.733788,28.4467,0.413,0.2019,390.04,"(250700339, 364104830)"
21510124,5206,Car,72.08,27.031302,37.985084,23.733981,30.0509,-0.0127,0.0187,392.44,"(364104830, 364104856)"
