,track_id,type,traveled_d,avg_speed,lat,lon,speed,lon_acc,lat_acc,time,matchlink
5699008,1260,Taxi,1031.33,27.494089,37.984798,23.731864,0.0,0.0,0.0,3.32,"(388172083, 250700085)"
5699068,1260,Taxi,1031.33,27.494089,37.984798,23.731864,0.0,0.0,0.0,5.72,"(388172083, 250700085)"
5699248,1260,Taxi,1031.33,27.494089,37.984798,23.731864,0.0,0.0,0.0,12.92,"(388172083, 250700085)"
5699308,1260,Taxi,1031.33,27.494089,37.984798,23.731864,0.0,0.0,0.0,15.32,"(388172083, 250700085)"
5699428,1260,Taxi,1031.33,27.494089,37.984798,23.731864,0.0,0.0,0.0,20.12,"(388172083, 250700085)"
5699488,1260,Taxi,1031.33,27.494089,37.984798,23.731864,0.0772,0.0323,-0.0,22.52,"(388172083, 250700085)"
5699548,1260,Taxi,1031.33,27.494089,37.984786,23.731836,10.1549,0.8118,-0.7774,24.92,"(388172083, 250700085)"
5699608,1260,Taxi,1031.33,27.494089,37.984711,23.731793,19.7955,1.6171,-2.9188,27.32,"(250700085, 250700084)"
5699788,1260,Taxi,1031.33,27.494089,37.984295,23.732086,21.0174,-0.1537,-0.621,34.52,"(250700085, 250700084)"
5699848,1260,Taxi,1031.33,27.494089,37.984216,23.732153,7.5138,-1.5179,0.0034,36.92,"(250700085, 250700084)"
5699908,1260,Taxi,1031.33,27.494089,37.984203,23.732165,0.0584,-0.0989,-0.0079,39.32,"(250700085, 250700084)"
5699968,1260,Taxi,1031.33,27.494089,37.984203,23.732165,0.0008,0.0005,-0.0,41.72,"(250700085, 250700084)"
5700088,1260,Taxi,1031.33,27.494089,37.984203,23.732165,0.03,0.0029,-0.0,46.52,"(250700085, 250700084)"
5700148,1260,Taxi,1031.33,27.494089,37.984189,23.732178,10.7607,1.7427,0.1416,48.92,"(250700085, 250700084)"
5700208,1260,Taxi,1031.33,27.494089,37.984102,23.732247,21.1692,0.6308,-0.0358,51.32,"(250700084, 250700083)"
5700268,1260,Taxi,1031.33,27.494089,37.983978,23.732346,28.027,1.0222,0.0332,53.72,"(250700084, 250700083)"
5700388,1260,Taxi,1031.33,27.494089,37.983636,23.732619,32.9295,-0.2122,0.414,58.52,"(250700084, 250700083)"
5700448,1260,Taxi,1031.33,27.494089,37.983463,23.732733,33.2275,0.352,0.0087,60.92,"(250700083, 250699362)"
5700508,1260,Taxi,1031.33,27.494089,37.983281,23.732862,36.5066,0.2989,-0.2226,63.32,"(250699362, 599116897)"
5700568,1260,Taxi,1031.33,27.494089,37.983095,23.733017,35.5236,-0.7173,0.0434,65.72,"(599116897, 250699613)"
5700928,1260,Taxi,1031.33,27.494089,37.982152,23.733829,37.9636,0.4724,-0.0452,80.12,"(250699613, 250699359)"
5701228,1260,Taxi,1031.33,27.494089,37.981114,23.734696,36.8221,-0.2436,0.0536,92.12,"(250699359, 10174555843)"
5701528,1260,Taxi,1031.33,27.494089,37.980239,23.735411,37.828,0.0863,-0.0273,104.12,"(10174555843, 300400470)"
5701828,1260,Taxi,1031.33,27.494089,37.979146,23.736313,47.6981,0.0854,0.282,116.12,"(300400470, 250691755)"
5702128,1260,Taxi,1031.33,27.494089,37.977925,23.737302,51.1367,-0.2448,-0.0855,128.12,"(250691755, 250692359)"
5702188,1260,Taxi,1031.33,27.494089,37.977669,23.737509,49.3848,-0.7623,0.041,130.52,"(250692359, 250691739)"
5702308,1260,Taxi,1031.33,27.494089,37.977196,23.737831,39.3804,-1.0527,1.8735,135.32,"(250691739, 250691794)"
5702368,1260,Taxi,1031.33,27.494089,37.976983,23.737844,32.2193,-0.5821,1.118,137.72,"(250691794, 250691793)"
5702384,1260,Taxi,1031.33,27.494089,37.976933,23.737833,31.5461,0.0489,0.4833,138.36,"(250691793, 6220792260)"
