,track_id,type,traveled_d,avg_speed,lat,lon,speed,lon_acc,lat_acc,time,matchlink
26938362,12679,Heavy Vehicle,161.35,5.007328,37.975635,23.735676,27.8401,0.159,-0.2209,412.12,"(954712428, 7384331753)"
26938482,12679,Heavy Vehicle,161.35,5.007328,37.975792,23.735689,3.5565,-0.598,0.0122,416.92,"(954712428, 7384331753)"
26938602,12679,Heavy Vehicle,161.35,5.007328,37.975806,23.735692,0.001,-0.0036,-0.0,421.72,"(954712428, 7384331753)"
26938662,12679,Heavy Vehicle,161.35,5.007328,37.975806,23.735692,0.0,0.0,0.0,424.12,"(954712428, 7384331753)"
26938782,12679,Heavy Vehicle,161.35,5.007328,37.975806,23.735692,0.0,0.0,0.0,428.92,"(954712428, 7384331753)"
26938902,12679,Heavy Vehicle,161.35,5.007328,37.975806,23.735692,0.0,0.0,0.0,433.72,"(954712428, 7384331753)"
26938962,12679,Heavy Vehicle,161.35,5.007328,37.975806,23.735692,0.0,0.0,0.0,436.12,"(954712428, 7384331753)"
26939082,12679,Heavy Vehicle,161.35,5.007328,37.975806,23.735692,0.0,0.0,0.0,440.92,"(954712428, 7384331753)"
26939202,12679,Heavy Vehicle,161.35,5.007328,37.975806,23.735692,0.0,0.0,0.0,445.72,"(954712428, 7384331753)"
26939262,12679,Heavy Vehicle,161.35,5.007328,37.975806,23.735692,0.0,0.0,0.0,448.12,"(954712428, 7384331753)"
26939382,12679,Heavy Vehicle,161.35,5.007328,37.975806,23.735692,0.0,0.0,0.0,452.92,"(954712428, 7384331753)"
26939502,12679,Heavy Vehicle,161.35,5.007328,37.975806,23.735692,0.0,-0.0,0.0,457.72,"(954712428, 7384331753)"
26939562,12679,Heavy Vehicle,161.35,5.007328,37.975806,23.735692,0.8975,0.6587,-0.1591,460.12,"(954712428, 7384331753)"
26939682,12679,Heavy Vehicle,161.35,5.007328,37.97591,23.735661,17.4724,0.2663,-1.3247,464.92,"(954712428, 7384331753)"
26939802,12679,Heavy Vehicle,161.35,5.007328,37.976014,23.735308,34.9209,0.7282,-0.0071,469.72,"(7384331753, 42240105)"
26939862,12679,Heavy Vehicle,161.35,5.007328,37.976052,23.735034,36.3673,-1.536,0.262,472.12,"(7384331753, 42240105)"
26939982,12679,Heavy Vehicle,161.35,5.007328,37.976109,23.734683,11.8037,-1.6586,0.0899,476.92,"(7384331753, 42240105)"
26940102,12679,Heavy Vehicle,161.35,5.007328,37.976115,23.734634,0.0002,-0.0,-0.0,481.72,"(7384331753, 42240105)"
26940162,12679,Heavy Vehicle,161.35,5.007328,37.976115,23.734634,0.0,0.0,0.0,484.12,"(7384331753, 42240105)"
26940282,12679,Heavy Vehicle,161.35,5.007328,37.976115,23.734634,0.0,0.0,0.0,488.92,"(7384331753, 42240105)"
26940402,12679,Heavy Vehicle,161.35,5.007328,37.976115,23.734634,0.0,0.0,0.0,493.72,"(7384331753, 42240105)"
26940462,12679,Heavy Vehicle,161.35,5.007328,37.976115,23.734634,0.0,0.0,0.0,496.12,"(7384331753, 42240105)"
26940582,12679,Heavy Vehicle,161.35,5.007328,37.976115,23.734634,0.0,0.0,0.0,500.92,"(7384331753, 42240105)"
26940702,12679,Heavy Vehicle,161.35,5.007328,37.976115,23.734634,0.0,0.0,0.0,505.72,"(7384331753, 42240105)"
26940762,12679,Heavy Vehicle,161.35,5.007328,37.976115,23.734634,0.0,0.0,0.0,508.12,"(7384331753, 42240105)"
26940942,12679,Heavy Vehicle,161.35,5.007328,37.976115,23.734634,0.0,0.0,0.0,515.32,"(7384331753, 42240105)"
26941002,12679,Heavy Vehicle,161.35,5.007328,37.976115,23.734634,0.0,0.0,0.0,517.72,"(7384331753, 42240105)"
26941062,12679,Heavy Vehicle,161.35,5.007328,37.976115,23.734634,0.3847,0.2648,0.3939,520.12,"(7384331753, 42240105)"
26941242,12679,Heavy Vehicle,161.35,5.007328,37.976102,23.734302,26.3294,0.2534,-2.0482,527.32,"(42240105, 250691272)"
26941262,12679,Heavy Vehicle,161.35,5.007328,37.976071,23.734247,26.6898,-0.0176,-0.7118,528.12,"(42240105, 250691272)"
