,track_id,type,traveled_d,avg_speed,lat,lon,speed,lon_acc,lat_acc,time,matchlink
2827276,2837,Motorcycle,294.66,13.226808,37.988413,23.726256,27.548,0.0012,0.1094,502.4,"(635132991, 95663474)"
2827336,2837,Motorcycle,294.66,13.226808,37.988271,23.726152,26.9785,-0.3175,-0.0232,504.8,"(635132991, 95663474)"
2827396,2837,Motorcycle,294.66,13.226808,37.988147,23.726054,20.0115,-1.4237,-0.3838,507.2,"(635132991, 95663474)"
2827456,2837,Motorcycle,294.66,13.226808,37.988062,23.725992,13.7348,-0.788,-0.2833,509.6,"(635132991, 95663474)"
2827516,2837,Motorcycle,294.66,13.226808,37.988008,23.725957,7.0733,-0.4748,-0.1323,512.0,"(635132991, 95663474)"
2827576,2837,Motorcycle,294.66,13.226808,37.987991,23.725946,0.005,-0.0331,0.0007,514.4,"(635132991, 95663474)"
2827696,2837,Motorcycle,294.66,13.226808,37.987991,23.725946,0.0,0.0,0.0,519.2,"(635132991, 95663474)"
2827756,2837,Motorcycle,294.66,13.226808,37.987991,23.725946,0.0,0.0,0.0,521.6,"(635132991, 95663474)"
2827816,2837,Motorcycle,294.66,13.226808,37.987991,23.725946,0.0,0.0,0.0,524.0,"(635132991, 95663474)"
2827876,2837,Motorcycle,294.66,13.226808,37.987991,23.725946,0.0,0.0,0.0,526.4,"(635132991, 95663474)"
2827996,2837,Motorcycle,294.66,13.226808,37.987991,23.725946,0.0,0.0,0.0,531.2,"(635132991, 95663474)"
2828056,2837,Motorcycle,294.66,13.226808,37.987991,23.725946,0.0,0.0,0.0,533.6,"(635132991, 95663474)"
2828116,2837,Motorcycle,294.66,13.226808,37.987991,23.725946,0.0,0.0,0.0,536.0,"(635132991, 95663474)"
2828176,2837,Motorcycle,294.66,13.226808,37.987991,23.725946,0.0,0.0,0.0,538.4,"(635132991, 95663474)"
2828296,2837,Motorcycle,294.66,13.226808,37.987955,23.725926,12.6791,0.5856,-0.0151,543.2,"(635132991, 95663474)"
2828356,2837,Motorcycle,294.66,13.226808,37.987888,23.725894,9.7174,-0.0876,0.6398,545.6,"(95663474, 95663499)"
2828416,2837,Motorcycle,294.66,13.226808,37.987833,23.725848,14.1306,1.1356,-0.4091,548.0,"(95663474, 95663499)"
2828476,2837,Motorcycle,294.66,13.226808,37.987731,23.725782,23.4669,1.1072,0.0259,550.4,"(95663474, 95663499)"
2828596,2837,Motorcycle,294.66,13.226808,37.987402,23.725564,30.7057,-0.3754,0.6337,555.2,"(95663499, 95663501)"
2828656,2837,Motorcycle,294.66,13.226808,37.987224,23.725437,31.8437,-2.6146,-0.5378,557.6,"(95663499, 95663501)"
2828716,2837,Motorcycle,294.66,13.226808,37.987049,23.725324,35.0336,-0.5788,-0.0196,560.0,"(95663501, 95663502)"
2828776,2837,Motorcycle,294.66,13.226808,37.986884,23.725217,31.376,1.0643,0.002,562.4,"(95663501, 95663502)"
2828896,2837,Motorcycle,294.66,13.226808,37.986559,23.725002,27.4394,0.5473,-0.4208,567.2,"(95663502, 95663504)"
2828956,2837,Motorcycle,294.66,13.226808,37.986414,23.724919,21.4815,-1.8266,-0.0513,569.6,"(95663502, 95663504)"
2829016,2837,Motorcycle,294.66,13.226808,37.986324,23.724872,12.824,-0.6301,0.0008,572.0,"(95663502, 95663504)"
2829076,2837,Motorcycle,294.66,13.226808,37.986265,23.724842,8.9185,-0.2739,0.0215,574.4,"(95663502, 95663504)"
2829196,2837,Motorcycle,294.66,13.226808,37.986171,23.724788,10.3398,0.4384,0.0007,579.2,"(95663502, 95663504)"
2829256,2837,Motorcycle,294.66,13.226808,37.986103,23.724746,17.0873,1.9122,-0.0067,581.6,"(95663504, 6693568141)"
2829281,2837,Motorcycle,294.66,13.226808,37.986057,23.724719,21.3817,-0.1536,-0.0028,582.6,"(95663504, 6693568141)"
