,track_id,type,traveled_d,avg_speed,lat,lon,speed,lon_acc,lat_acc,time,matchlink
9258805,5583,Taxi,582.96,25.043789,37.987531,23.730432,15.6317,0.0362,0.4,63.08,"(97788586, 97788195)"
9258865,5583,Taxi,582.96,25.043789,37.987586,23.730354,13.6187,0.5165,1.5896,65.48,"(97788586, 97788195)"
9258985,5583,Taxi,582.96,25.043789,37.987843,23.730402,28.7889,0.0997,-0.3145,70.28,"(97788195, 97788202)"
9259045,5583,Taxi,582.96,25.043789,37.987997,23.730445,23.3171,-0.5459,-0.0887,72.68,"(97788195, 97788202)"
9259105,5583,Taxi,582.96,25.043789,37.988135,23.730479,26.6568,1.2167,-0.0038,75.08,"(97788195, 97788202)"
9259165,5583,Taxi,582.96,25.043789,37.98831,23.730521,30.3983,-0.9771,-0.025,77.48,"(97788195, 97788202)"
9259285,5583,Taxi,582.96,25.043789,37.988681,23.730605,34.7314,0.4119,-0.2103,82.28,"(97788195, 97788202)"
9259345,5583,Taxi,582.96,25.043789,37.988895,23.73064,34.9845,-0.5673,0.069,84.68,"(97788195, 97788202)"
9259405,5583,Taxi,582.96,25.043789,37.989093,23.730682,33.8385,0.2945,0.0702,87.08,"(97788195, 97788202)"
9259465,5583,Taxi,582.96,25.043789,37.989292,23.730736,34.6514,0.6614,-0.0929,89.48,"(97788195, 97788202)"
9259585,5583,Taxi,582.96,25.043789,37.98975,23.730856,37.6473,-0.7906,-0.1958,94.28,"(97788202, 97788210)"
9259645,5583,Taxi,582.96,25.043789,37.989954,23.73091,31.897,-0.3863,-0.3953,96.68,"(97788210, 97797102)"
9259705,5583,Taxi,582.96,25.043789,37.990143,23.730948,33.0366,0.4343,-0.2887,99.08,"(97788210, 97797102)"
9259765,5583,Taxi,582.96,25.043789,37.990351,23.730977,36.514,0.3541,0.5624,101.48,"(97788210, 97797102)"
9259885,5583,Taxi,582.96,25.043789,37.990771,23.731084,31.1933,-0.4289,-0.1233,106.28,"(97788210, 97797102)"
9259945,5583,Taxi,582.96,25.043789,37.990941,23.731123,26.4035,-0.4348,0.1838,108.68,"(97797102, 515962403)"
9260005,5583,Taxi,582.96,25.043789,37.991086,23.73116,22.305,-0.5919,0.3256,111.08,"(97797102, 515962403)"
9260065,5583,Taxi,582.96,25.043789,37.991208,23.731202,20.6573,-0.0656,-0.0922,113.48,"(97797102, 515962403)"
9260185,5583,Taxi,582.96,25.043789,37.99139,23.73126,5.1653,-1.5878,-0.0988,118.28,"(515962403, 5921003579)"
9260245,5583,Taxi,582.96,25.043789,37.991395,23.731262,0.0,-0.0,0.0,120.68,"(515962403, 5921003579)"
9260305,5583,Taxi,582.96,25.043789,37.991395,23.731262,0.0,0.0,0.0,123.08,"(515962403, 5921003579)"
9260365,5583,Taxi,582.96,25.043789,37.991396,23.731262,1.4443,1.1576,0.0697,125.48,"(515962403, 5921003579)"
9260485,5583,Taxi,582.96,25.043789,37.991545,23.731316,19.1471,0.9888,-0.115,130.28,"(515962403, 5921003579)"
9260545,5583,Taxi,582.96,25.043789,37.991681,23.731364,26.7104,0.6269,-0.1221,132.68,"(5921003579, 5581434217)"
9260605,5583,Taxi,582.96,25.043789,37.991852,23.731415,31.3349,0.2819,-0.3914,135.08,"(5581434217, 8207556731)"
9260725,5583,Taxi,582.96,25.043789,37.992217,23.731483,30.7518,0.3789,0.1771,139.88,"(8207556731, 6943632782)"
9260785,5583,Taxi,582.96,25.043789,37.992407,23.731518,30.5359,-1.4048,0.1886,142.28,"(6943632782, 358466006)"
9260845,5583,Taxi,582.96,25.043789,37.99254,23.73155,18.2562,0.1426,0.0648,144.68,"(6943632782, 358466006)"
9260900,5583,Taxi,582.96,25.043789,37.992654,23.73158,23.9963,0.1467,-0.0606,146.88,"(6943632782, 358466006)"
