,track_id,type,traveled_d,avg_speed,lat,lon,speed,lon_acc,lat_acc,time,matchlink
4378128,3555,Car,319.24,10.582492,37.992669,23.731447,38.5727,-0.0172,-0.0158,84.08,"(250714944, 635122964)"
4378188,3555,Car,319.24,10.582492,37.99244,23.731377,39.1927,0.1344,-0.0233,86.48,"(635122964, 358465186)"
4378308,3555,Car,319.24,10.582492,37.99195,23.731242,39.8048,-1.5618,0.1233,91.28,"(358465186, 6910572379)"
4378368,3555,Car,319.24,10.582492,37.991766,23.731195,21.7779,-1.167,0.0755,93.68,"(6910572379, 5581434215)"
4378428,3555,Car,319.24,10.582492,37.991634,23.731157,26.4953,0.6152,0.303,96.08,"(5581434215, 97788477)"
4378488,3555,Car,319.24,10.582492,37.99148,23.731097,24.8935,-0.8227,-0.0428,98.48,"(5581434215, 97788477)"
4378608,3555,Car,319.24,10.582492,37.991368,23.730889,22.1189,-0.0992,0.1399,103.28,"(97788477, 97788471)"
4378668,3555,Car,319.24,10.582492,37.991397,23.730727,22.148,0.0947,-0.003,105.68,"(97788477, 97788471)"
4378728,3555,Car,319.24,10.582492,37.991421,23.730561,22.1642,-0.0104,0.1008,108.08,"(97788477, 97788471)"
4378788,3555,Car,319.24,10.582492,37.991446,23.730402,19.7093,-0.4711,0.0542,110.48,"(97788477, 97788471)"
4378908,3555,Car,319.24,10.582492,37.991477,23.730218,0.8579,-1.2647,-0.0061,115.28,"(97788477, 97788471)"
4378968,3555,Car,319.24,10.582492,37.991477,23.730218,0.0,-0.0,0.0,117.68,"(97788477, 97788471)"
4379028,3555,Car,319.24,10.582492,37.991477,23.730218,0.325,0.2269,0.0,120.08,"(97788477, 97788471)"
4379088,3555,Car,319.24,10.582492,37.991476,23.730216,0.0,-0.0002,0.0,122.48,"(97788477, 97788471)"
4379208,3555,Car,319.24,10.582492,37.991477,23.730213,0.8417,0.0432,-0.0005,127.28,"(97788477, 97788471)"
4379268,3555,Car,319.24,10.582492,37.991481,23.730188,5.7968,0.1089,0.0633,129.68,"(97788477, 97788471)"
4379328,3555,Car,319.24,10.582492,37.991488,23.730141,8.1629,0.5354,0.0227,132.08,"(97788477, 97788471)"
4379508,3555,Car,319.24,10.582492,37.99151,23.730002,0.3043,-0.4507,-0.0049,139.28,"(97788477, 97788471)"
4379568,3555,Car,319.24,10.582492,37.99151,23.730002,0.0,-0.0,0.0,141.68,"(97788477, 97788471)"
4379628,3555,Car,319.24,10.582492,37.99151,23.730002,0.0,0.0,0.0,144.08,"(97788477, 97788471)"
4379808,3555,Car,319.24,10.582492,37.99151,23.730002,0.0,0.0,0.0,151.28,"(97788477, 97788471)"
4379868,3555,Car,319.24,10.582492,37.99151,23.730002,0.0,0.0,0.0,153.68,"(97788477, 97788471)"
4379928,3555,Car,319.24,10.582492,37.99151,23.730002,0.0,0.0,0.0,156.08,"(97788477, 97788471)"
4380048,3555,Car,319.24,10.582492,37.99151,23.730002,0.0,0.0,0.0,160.88,"(97788477, 97788471)"
4380108,3555,Car,319.24,10.582492,37.99151,23.730002,0.0,0.0,0.0,163.28,"(97788477, 97788471)"
4380168,3555,Car,319.24,10.582492,37.99151,23.730002,0.0,0.0,-0.0,165.68,"(97788477, 97788471)"
4380228,3555,Car,319.24,10.582492,37.99151,23.730002,0.0829,0.1104,-0.0009,168.08,"(97788477, 97788471)"
4380348,3555,Car,319.24,10.582492,37.991531,23.729869,16.959,0.1033,0.0444,172.88,"(97788477, 97788471)"
4380408,3555,Car,319.24,10.582492,37.991551,23.729746,15.8905,-0.2382,-0.0254,175.28,"(97788471, 358465939)"
4380468,3555,Car,319.24,10.582492,37.99157,23.729632,16.4256,0.1345,-0.0062,177.68,"(97788471, 358465939)"
4380528,3555,Car,319.24,10.582492,37.991589,23.729511,16.269,-0.0376,0.0518,180.08,"(97788471, 358465939)"
4380648,3555,Car,319.24,10.582492,37.991621,23.729325,7.7424,-0.9072,-0.0776,184.88,"(97788471, 358465939)"
4380708,3555,Car,319.24,10.582492,37.991626,23.729291,2.7141,-0.0867,0.1349,187.28,"(97788471, 358465939)"
4380768,3555,Car,319.24,10.582492,37.991631,23.72926,8.0475,0.9422,0.1169,189.68,"(97788471, 358465939)"
4380828,3555,Car,319.24,10.582492,37.991646,23.729175,15.2311,0.8012,-0.2102,192.08,"(97788471, 358465939)"
4380843,3555,Car,319.24,10.582492,37.99165,23.729144,16.3978,0.5412,-0.1414,192.68,"(97788471, 358465939)"
