,track_id,type,traveled_d,avg_speed,lat,lon,speed,lon_acc,lat_acc,time,matchlink
6453542,4557,Motorcycle,544.08,18.972026,37.992655,23.731522,38.4221,-0.0001,0.0729,88.08,"(250714944, 635122964)"
6453602,4557,Motorcycle,544.08,18.972026,37.992431,23.731461,35.5723,-1.0514,-0.4673,90.48,"(635122964, 358465186)"
6453722,4557,Motorcycle,544.08,18.972026,37.992096,23.731405,17.0683,-1.7522,-0.3345,95.28,"(635122964, 358465186)"
6453782,4557,Motorcycle,544.08,18.972026,37.992024,23.7314,5.4351,-2.5682,0.1322,97.68,"(358465186, 6910572379)"
6453842,4557,Motorcycle,544.08,18.972026,37.992021,23.731399,0.0,-0.0,-0.0,100.08,"(358465186, 6910572379)"
6453902,4557,Motorcycle,544.08,18.972026,37.992021,23.731399,0.0,0.0,0.0,102.48,"(358465186, 6910572379)"
6454022,4557,Motorcycle,544.08,18.972026,37.992021,23.731399,0.0,0.0,0.0,107.28,"(358465186, 6910572379)"
6454082,4557,Motorcycle,544.08,18.972026,37.992021,23.731399,0.0,0.0,0.0,109.68,"(358465186, 6910572379)"
6454142,4557,Motorcycle,544.08,18.972026,37.992021,23.731399,0.0,0.0,0.0,112.08,"(358465186, 6910572379)"
6454202,4557,Motorcycle,544.08,18.972026,37.992021,23.731399,0.0,0.0,0.0,114.48,"(358465186, 6910572379)"
6454322,4557,Motorcycle,544.08,18.972026,37.992021,23.731399,0.0,0.0,0.0,119.28,"(358465186, 6910572379)"
6454382,4557,Motorcycle,544.08,18.972026,37.992021,23.731399,0.0,0.0,0.0,121.68,"(358465186, 6910572379)"
6454442,4557,Motorcycle,544.08,18.972026,37.992021,23.731399,0.0,0.0,0.0,124.08,"(358465186, 6910572379)"
6454502,4557,Motorcycle,544.08,18.972026,37.992021,23.731399,0.0,0.0,0.0,126.48,"(358465186, 6910572379)"
6454622,4557,Motorcycle,544.08,18.972026,37.992021,23.731399,0.0,0.0,0.0,131.28,"(358465186, 6910572379)"
6454682,4557,Motorcycle,544.08,18.972026,37.992021,23.731399,0.0,0.0,0.0,133.68,"(358465186, 6910572379)"
6454742,4557,Motorcycle,544.08,18.972026,37.992021,23.731399,0.0,0.0,0.0,136.08,"(358465186, 6910572379)"
6454922,4557,Motorcycle,544.08,18.972026,37.992021,23.731399,0.0014,0.0002,-0.0,143.28,"(358465186, 6910572379)"
6454982,4557,Motorcycle,544.08,18.972026,37.992005,23.731396,8.4126,1.8775,-0.0632,145.68,"(6910572379, 5581434215)"
6455042,4557,Motorcycle,544.08,18.972026,37.991914,23.731377,19.5819,0.4775,-0.9047,148.08,"(5581434215, 5921003579)"
6455222,4557,Motorcycle,544.08,18.972026,37.991655,23.731714,33.109,1.294,0.2353,155.28,"(5921003579, 4056070360)"
6455282,4557,Motorcycle,544.08,18.972026,37.991611,23.731988,38.7028,0.5388,-0.1154,157.68,"(4056070360, 358464212)"
6455342,4557,Motorcycle,544.08,18.972026,37.991567,23.732301,44.4574,0.2628,0.4391,160.08,"(4056070360, 358464212)"
6455462,4557,Motorcycle,544.08,18.972026,37.991452,23.732974,40.9038,-1.6139,-0.0725,164.88,"(358464212, 358464049)"
6455522,4557,Motorcycle,544.08,18.972026,37.991406,23.733251,35.0516,-0.5757,0.1378,167.28,"(358464049, 358464040)"
6455582,4557,Motorcycle,544.08,18.972026,37.991362,23.733508,36.8772,0.8104,0.0661,169.68,"(358464049, 358464040)"
6455642,4557,Motorcycle,544.08,18.972026,37.991318,23.73379,36.8066,-0.0842,0.2116,172.08,"(358464049, 358464040)"
6455762,4557,Motorcycle,544.08,18.972026,37.991234,23.73436,38.9596,0.5021,-0.1487,176.88,"(358464040, 358464027)"
6455822,4557,Motorcycle,544.08,18.972026,37.991188,23.734659,41.8894,0.1564,-0.0854,179.28,"(358464040, 358464027)"
6455882,4557,Motorcycle,544.08,18.972026,37.991137,23.734971,43.5613,0.5872,0.2343,181.68,"(358464027, 358464018)"
6455942,4557,Motorcycle,544.08,18.972026,37.991083,23.735298,43.7725,0.2801,0.2616,184.08,"(358464018, 358464012)"
6456062,4557,Motorcycle,544.08,18.972026,37.990974,23.735974,46.54,-0.0588,0.0135,188.88,"(358464012, 635444052)"
6456122,4557,Motorcycle,544.08,18.972026,37.990923,23.736327,47.8002,0.0322,-0.1642,191.28,"(358464012, 635444052)"
6456123,4557,Motorcycle,544.08,18.972026,37.990923,23.736333,47.8044,0.0186,-0.1525,191.32,"(358464012, 635444052)"
