,track_id,type,traveled_d,avg_speed,lat,lon,speed,lon_acc,lat_acc,time,matchlink
4449999,3582,Motorcycle,250.74,15.835947,37.991243,23.729057,20.542,0.1106,-0.0098,152.48,"(635126478, 635126483)"
4450059,3582,Motorcycle,250.74,15.835947,37.991227,23.729199,17.4182,0.2468,-0.0033,154.88,"(635126478, 635126483)"
4450119,3582,Motorcycle,250.74,15.835947,37.99121,23.729341,19.8055,0.237,0.0222,157.28,"(635126478, 635126483)"
4450179,3582,Motorcycle,250.74,15.835947,37.991192,23.729489,17.4244,-0.7318,-0.0398,159.68,"(635126478, 635126483)"
4450239,3582,Motorcycle,250.74,15.835947,37.99118,23.729603,12.9431,-0.5739,0.0453,162.08,"(635126478, 635126483)"
4450299,3582,Motorcycle,250.74,15.835947,37.991172,23.729675,6.9806,-0.1043,-0.6253,164.48,"(635126478, 635126483)"
4450359,3582,Motorcycle,250.74,15.835947,37.991182,23.729713,4.0659,0.3165,-0.4262,166.88,"(635126478, 635126483)"
4450419,3582,Motorcycle,250.74,15.835947,37.99121,23.729742,9.7618,1.0383,-0.4953,169.28,"(635126483, 97788471)"
4450479,3582,Motorcycle,250.74,15.835947,37.991275,23.72978,12.1087,0.3267,0.053,171.68,"(635126483, 97788471)"
4450539,3582,Motorcycle,250.74,15.835947,37.991342,23.729816,10.9761,-0.3524,0.1948,174.08,"(635126483, 97788471)"
4450599,3582,Motorcycle,250.74,15.835947,37.991389,23.729833,6.2757,-0.8097,0.0562,176.48,"(635126483, 97788471)"
4450659,3582,Motorcycle,250.74,15.835947,37.9914,23.729835,0.0005,-0.0032,-0.0002,178.88,"(635126483, 97788471)"
4450719,3582,Motorcycle,250.74,15.835947,37.9914,23.729835,0.0,0.0,0.0,181.28,"(635126483, 97788471)"
4450779,3582,Motorcycle,250.74,15.835947,37.9914,23.729835,0.0,0.0,0.0,183.68,"(635126483, 97788471)"
4450839,3582,Motorcycle,250.74,15.835947,37.9914,23.729835,0.0,0.0,0.0,186.08,"(635126483, 97788471)"
4450899,3582,Motorcycle,250.74,15.835947,37.9914,23.729835,0.2559,0.8449,-0.0001,188.48,"(635126483, 97788471)"
4450959,3582,Motorcycle,250.74,15.835947,37.991447,23.729845,15.9351,2.1945,-0.077,190.88,"(635126483, 97788471)"
4451019,3582,Motorcycle,250.74,15.835947,37.991576,23.729871,27.5128,1.6683,0.4995,193.28,"(97788471, 358465410)"
4451079,3582,Motorcycle,250.74,15.835947,37.991764,23.729925,33.9365,0.2012,-0.4068,195.68,"(97788471, 358465410)"
4451139,3582,Motorcycle,250.74,15.835947,37.991968,23.729971,33.756,-0.1404,-0.0433,198.08,"(97788471, 358465410)"
4451199,3582,Motorcycle,250.74,15.835947,37.992185,23.730015,34.7019,-0.407,-0.2104,200.48,"(97788471, 358465410)"
4451259,3582,Motorcycle,250.74,15.835947,37.992387,23.730056,32.3562,0.2396,-0.1698,202.88,"(358465410, 635122963)"
4451319,3582,Motorcycle,250.74,15.835947,37.992578,23.730097,30.3158,-0.4966,-0.0053,205.28,"(358465410, 635122963)"
4451379,3582,Motorcycle,250.74,15.835947,37.992742,23.730131,27.8415,0.7114,0.221,207.68,"(635122963, 635122988)"
4451424,3582,Motorcycle,250.74,15.835947,37.99287,23.730164,28.9953,-0.136,0.0297,209.48,"(635122963, 635122988)"
