Mode,Constraints,Prep_Time,Solve_Time,Total_Time,Obj,Reduction
Mode A (Baseline),49455,27.207615613937378,15.360949277877808,42.568564891815186,89.0,0.0
Mode B (Geometric),20249,13.062320232391357,6.158929347991943,19.2212495803833,89.0,59.05570720857345
Mode C (Logical),274,30.523250579833984,0.08698081970214844,30.610231399536133,89.0,99.44596097462339
Mode D (Ours),178,13.057471990585327,0.17675065994262695,13.234222650527954,89.0,99.64007683752907
